state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Andhra Pradesh,Anantapur,IMD110-P301,1901,3.6,39.5,0.0,10.1,70.1,38.7,29.0,20.0,142.8,69.9,47.5,6.5,477.7,43.0,80.2,230.5,123.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1902,5.0,0.0,0.1,28.4,41.7,74.6,34.7,50.8,140.3,167.1,24.0,4.4,571.1,5.0,70.2,300.4,195.5,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1903,0.8,0.0,0.0,11.1,50.0,68.9,81.3,90.9,207.3,108.9,197.0,5.4,821.4,0.8,61.1,448.3,311.3,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1904,1.7,0.0,1.2,15.8,102.3,31.1,50.6,19.2,75.5,158.4,0.0,1.5,457.4,1.7,119.3,176.5,160.0,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1905,2.2,2.5,12.8,9.0,57.4,43.9,22.2,186.5,26.1,113.9,3.7,0.4,480.4,4.7,79.2,278.6,118.0,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1906,18.3,0.0,0.0,0.1,13.2,72.6,76.7,131.7,139.8,118.8,9.9,106.7,687.9,18.3,13.3,420.8,235.4,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1907,0.1,0.0,1.1,49.5,5.9,48.5,135.9,24.0,104.6,16.2,53.8,4.9,444.6,0.1,56.6,313.0,74.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1908,13.1,0.6,14.9,8.2,32.4,51.3,44.1,19.3,178.2,30.9,0.0,0.0,393.0,13.7,55.5,292.9,30.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1909,22.0,0.2,0.9,38.0,90.0,36.4,37.8,235.3,175.3,24.9,5.5,0.5,666.7,22.2,128.8,484.8,30.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1910,0.0,0.0,0.0,9.2,37.2,41.0,157.6,125.2,195.3,113.8,83.3,0.0,762.5,0.0,46.4,519.0,197.1,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1911,0.0,0.0,2.4,20.5,57.4,56.8,46.3,50.4,96.8,78.3,12.3,4.8,426.1,0.0,80.3,250.3,95.5,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1912,0.0,4.2,2.2,7.6,19.5,41.7,54.5,129.3,228.4,130.8,96.5,0.0,714.6,4.2,29.2,453.8,227.3,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1913,0.0,0.0,0.0,3.9,77.5,53.1,79.9,9.8,161.7,92.4,0.0,2.2,480.5,0.0,81.4,304.5,94.6,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1914,0.0,0.0,0.0,13.4,43.9,36.3,45.3,93.0,125.5,36.8,27.9,4.2,426.4,0.0,57.4,300.2,68.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1915,15.3,0.1,39.1,10.6,67.8,60.8,117.9,27.1,237.5,53.5,99.9,0.6,730.0,15.4,117.4,443.2,153.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1916,0.0,0.0,0.0,5.8,85.8,31.3,204.8,130.7,151.7,154.9,69.7,0.0,834.7,0.0,91.6,518.5,224.6,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1917,0.0,83.9,5.5,9.1,42.2,86.8,34.3,155.4,226.6,117.2,76.7,0.1,837.9,83.9,56.8,503.0,194.1,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1918,7.3,0.0,5.2,14.9,92.0,21.4,11.6,27.8,180.3,1.9,113.8,8.4,484.6,7.3,112.1,241.0,124.1,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1919,5.3,0.0,12.8,39.6,50.6,64.1,70.2,13.0,327.0,40.1,95.8,6.0,724.5,5.3,102.9,474.3,141.9,301,,ANANTAPUR,
Andhra Pradesh,Anantapur,IMD110-P301,1920,20.9,0.4,0.0,4.1,27.8,18.9,14.6,55.2,117.9,42.5,16.2,0.0,318.5,21.3,31.9,206.6,58.7,301,,ANANTAPUR,
