state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Arunachal Pradesh,Anjaw,IMD110-P351,1976,0.0,218.5,538.0,396.5,222.9,609.7,369.0,389.7,92.0,91.2,45.3,1.5,2974.2,218.5,1157.3,1460.4,138.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1977,68.3,166.4,280.9,554.0,430.3,352.3,508.0,809.6,231.2,170.9,98.8,41.0,3711.6,234.8,1265.1,1901.0,310.8,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1978,36.3,78.7,138.6,230.3,667.0,484.7,394.6,100.8,145.2,71.6,135.3,0.0,2483.0,114.9,1035.9,1125.3,206.9,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1979,41.2,51.8,301.8,214.9,222.7,193.6,710.8,231.7,209.6,478.5,5.0,53.4,2714.9,93.0,739.4,1345.7,536.9,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1980,93.9,157.3,329.8,660.8,131.1,452.6,67.6,698.2,161.5,243.0,12.2,,,251.2,1121.8,1379.9,,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1981,61.0,,310.2,193.4,58.1,464.8,632.0,331.1,117.6,37.6,13.5,66.6,,,561.7,1545.5,117.8,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1982,0.0,84.8,131.9,373.6,162.8,154.0,536.7,240.8,669.5,46.5,72.7,69.6,2542.9,84.8,668.3,1601.0,188.8,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1983,56.5,76.1,198.3,657.6,244.1,259.8,599.2,360.3,221.1,147.6,3.5,40.2,2864.2,132.5,1100.0,1440.3,191.3,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1984,51.5,40.4,186.8,839.2,517.3,307.6,726.7,549.8,579.6,201.7,6.0,71.9,4078.4,91.9,1543.3,2163.6,279.6,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1985,67.4,44.8,326.1,414.9,190.4,554.2,921.0,303.3,282.7,39.0,33.0,61.0,3237.8,112.2,931.4,2061.2,133.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1986,18.0,10.7,93.5,339.0,87.0,203.0,21.1,193.0,231.0,81.0,26.0,13.0,1316.3,28.7,519.5,648.1,120.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1987,0.0,7.3,29.5,,109.0,144.0,466.0,359.0,415.0,86.0,32.0,27.0,,7.3,,1384.0,145.0,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1988,21.0,171.0,464.0,507.0,597.0,114.0,434.0,489.0,209.0,396.0,61.0,0.0,3463.0,192.0,1568.0,1246.0,457.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1989,17.0,267.0,132.0,655.0,131.0,422.0,309.0,108.0,167.0,214.0,10.0,0.0,2432.0,284.0,918.0,1006.0,224.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1990,98.0,148.0,202.0,483.0,123.0,262.0,299.0,299.0,298.0,162.0,0.0,20.0,2394.0,246.0,808.0,1158.0,182.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1991,0.0,213.0,292.0,417.0,574.0,314.0,454.0,173.0,142.0,64.0,9.0,88.0,2740.0,213.0,1283.0,1083.0,161.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1992,41.0,158.0,647.0,500.0,169.0,301.0,369.0,69.0,105.0,225.0,25.0,21.0,2630.0,199.0,1316.0,844.0,271.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1993,178.0,166.0,209.0,158.0,265.0,281.0,288.0,351.0,158.0,27.0,5.0,0.0,2086.0,344.0,632.0,1078.0,32.0,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1994,83.0,88.0,551.0,295.0,213.0,212.0,135.0,75.0,56.5,132.0,12.6,2.1,1855.2,171.0,1059.0,478.5,146.7,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1995,31.4,202.6,167.6,462.0,395.0,312.4,175.4,345.4,,,17.6,26.4,,234.0,1024.6,,,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1996,96.4,141.4,537.6,328.4,470.4,296.0,379.4,177.8,116.2,267.6,0.0,0.0,2811.2,237.8,1336.4,969.4,267.6,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1997,19.7,140.7,461.1,87.2,172.4,245.4,386.6,267.0,289.4,29.2,86.6,36.6,2221.9,160.4,720.7,1188.4,152.4,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1998,28.8,87.6,,209.4,349.6,533.6,451.2,377.2,159.8,220.2,62.6,0.0,,116.4,,1521.8,282.8,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,1999,5.6,2.8,178.4,293.2,366.4,257.6,272.0,276.2,162.8,202.0,14.4,0.0,2031.4,8.4,838.0,968.6,216.4,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2000,70.7,68.0,199.0,735.8,206.0,490.2,141.0,178.0,156.2,53.4,40.8,0.0,2339.1,138.7,1140.8,965.4,94.2,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2001,41.0,80.2,228.0,,112.0,258.0,184.0,119.8,84.4,154.2,0.0,0.0,,121.2,,646.2,154.2,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2002,165.6,70.2,199.8,416.8,207.6,83.0,404.8,115.4,338.2,10.8,50.0,11.4,2073.6,235.8,824.2,941.4,72.2,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2003,50.0,121.8,165.0,322.6,156.8,374.8,439.0,97.8,74.0,168.8,0.0,11.4,1982.0,171.8,644.4,985.6,180.2,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2004,91.0,95.6,494.4,302.2,358.6,226.4,682.2,118.6,98.8,205.2,0.0,12.0,2685.0,186.6,1155.2,1126.0,217.2,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2005,24.8,384.6,580.2,330.6,93.6,82.8,287.0,313.8,53.6,238.2,17.0,0.0,2406.2,409.4,1004.4,737.2,255.2,351,,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2006,2.4,,198.6,316.2,273.4,203.6,129.8,52.4,,,65.2,29.8,,,788.2,,,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2007,8.0,77.4,45.4,454.6,209.0,251.0,429.6,230.6,243.6,,,16.0,,85.4,709.0,1154.8,,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2008,,70.2,,475.6,97.4,,281.2,253.2,,172.8,0.8,0.0,,,,,173.6,351,missing_months,ANJAW,
Arunachal Pradesh,Anjaw,IMD110-P351,2009,18.8,,104.2,208.2,102.2,,138.4,140.6,73.2,99.2,,,,,414.6,,,352,missing_months,ANJAW,
