state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Assam,Baksa,IMD110-P377,1901,27.7,2.8,60.7,151.2,171.0,170.7,316.3,302.1,225.6,24.6,146.5,0.0,1599.2,30.5,382.9,1014.7,171.1,377,,BAKSA,
Assam,Baksa,IMD110-P377,1902,0.5,0.0,76.7,341.7,102.1,354.8,255.8,340.2,238.8,2.5,0.0,0.0,1713.1,0.5,520.5,1189.6,2.5,377,,BAKSA,
Assam,Baksa,IMD110-P377,1903,55.9,28.4,86.5,133.4,217.5,510.3,166.4,266.0,260.1,99.0,8.9,0.0,1832.4,84.3,437.4,1202.8,107.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1904,3.3,57.1,33.0,454.2,349.4,449.1,512.6,335.4,237.3,81.0,27.9,0.0,2540.3,60.4,836.6,1534.4,108.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1905,21.4,10.0,146.9,236.2,376.8,414.4,191.6,432.8,383.3,64.8,0.0,22.9,2301.1,31.4,759.9,1422.1,87.7,377,,BAKSA,
Assam,Baksa,IMD110-P377,1906,0.0,19.0,56.4,124.8,261.1,473.0,365.9,231.0,260.1,188.1,15.5,0.0,1994.9,19.0,442.3,1330.0,203.6,377,,BAKSA,
Assam,Baksa,IMD110-P377,1907,36.4,15.0,78.3,300.3,160.0,210.7,428.0,210.5,240.0,26.1,0.0,15.4,1720.7,51.4,538.6,1089.2,41.5,377,,BAKSA,
Assam,Baksa,IMD110-P377,1908,11.9,7.8,27.2,192.6,549.5,127.1,126.4,223.2,250.2,90.2,0.0,0.0,1606.1,19.7,769.3,726.9,90.2,377,,BAKSA,
Assam,Baksa,IMD110-P377,1909,0.0,0.0,0.0,228.0,258.9,506.3,342.2,249.2,83.4,144.2,0.0,0.0,1812.2,0.0,486.9,1181.1,144.2,377,,BAKSA,
Assam,Baksa,IMD110-P377,1910,1.0,5.6,122.1,230.6,306.2,417.8,491.1,362.3,64.2,46.8,1.5,0.0,2049.2,6.6,658.9,1335.4,48.3,377,,BAKSA,
Assam,Baksa,IMD110-P377,1911,45.5,24.1,34.4,197.6,287.8,392.2,363.2,303.8,257.2,118.2,8.6,1.8,2034.4,69.6,519.8,1316.4,128.6,377,,BAKSA,
Assam,Baksa,IMD110-P377,1912,1.3,42.7,125.8,316.1,264.2,358.3,313.4,201.8,134.2,113.7,70.1,12.7,1954.3,44.0,706.1,1007.7,196.5,377,,BAKSA,
Assam,Baksa,IMD110-P377,1913,21.1,85.0,69.9,223.7,357.1,387.6,370.9,229.2,196.7,194.1,18.3,76.9,2230.5,106.1,650.7,1184.4,289.3,377,,BAKSA,
Assam,Baksa,IMD110-P377,1914,1.0,96.0,4.3,224.3,224.5,215.3,423.9,349.9,217.1,87.2,7.1,6.6,1857.2,97.0,453.1,1206.2,100.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1915,7.1,64.0,99.6,214.5,460.4,414.3,688.4,536.3,104.8,47.0,0.0,,,71.1,774.5,1743.8,,377,missing_months,BAKSA,
Assam,Baksa,IMD110-P377,1916,4.8,7.7,110.7,200.9,281.2,182.7,257.4,274.7,111.7,148.1,13.2,0.0,1593.1,12.5,592.8,826.5,161.3,377,,BAKSA,
Assam,Baksa,IMD110-P377,1917,0.0,68.3,33.5,139.5,,491.7,,238.4,311.6,228.2,28.4,0.0,,68.3,,,256.6,377,missing_months,BAKSA,
Assam,Baksa,IMD110-P377,1918,3.3,2.0,71.3,123.2,133.9,381.4,,465.7,,3.6,6.1,0.0,,5.3,328.4,,9.7,377,missing_months,BAKSA,
Assam,Baksa,IMD110-P377,1919,6.1,0.0,10.2,171.9,267.2,,325.8,,271.2,192.6,7.6,0.0,,6.1,449.3,,200.2,377,missing_months,BAKSA,
Assam,Baksa,IMD110-P377,1920,3.0,14.8,328.9,161.0,284.2,617.9,366.6,443.9,228.3,119.3,0.0,0.0,2567.9,17.8,774.1,1656.7,119.3,377,,BAKSA,
Assam,Baksa,IMD110-P377,1921,46.2,16.0,90.8,336.7,352.5,621.1,362.4,342.0,87.9,90.0,19.3,0.0,2364.9,62.2,780.0,1413.4,109.3,377,,BAKSA,
Assam,Baksa,IMD110-P377,1922,17.8,5.3,19.5,62.7,264.0,365.1,403.2,161.2,296.2,34.1,0.0,0.0,1629.1,23.1,346.2,1225.7,34.1,377,,BAKSA,
Assam,Baksa,IMD110-P377,1923,0.0,59.9,1.5,176.6,392.0,615.4,248.3,156.8,236.4,55.8,0.0,4.1,1946.8,59.9,570.1,1256.9,59.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1924,2.0,,2.3,224.5,286.3,256.3,412.4,324.5,232.7,99.6,63.0,0.0,,,513.1,1225.9,162.6,377,missing_months,BAKSA,
Assam,Baksa,IMD110-P377,1925,0.0,17.2,15.0,254.2,583.2,190.4,364.5,149.5,282.3,25.1,4.3,0.0,1885.7,17.2,852.4,986.7,29.4,377,,BAKSA,
Assam,Baksa,IMD110-P377,1926,20.1,5.6,139.7,121.6,252.9,422.6,552.3,276.4,114.6,228.4,0.0,19.5,2153.7,25.7,514.2,1365.9,247.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1927,38.4,48.1,43.8,97.9,254.0,583.9,259.5,278.2,252.0,60.6,28.5,0.0,1944.9,86.5,395.7,1373.6,89.1,377,,BAKSA,
Assam,Baksa,IMD110-P377,1928,5.9,4.9,44.1,138.6,512.6,229.6,213.6,244.5,31.4,269.2,17.6,1.3,1713.3,10.8,695.3,719.1,288.1,377,,BAKSA,
Assam,Baksa,IMD110-P377,1929,85.6,1.0,93.3,240.7,491.2,404.8,299.5,195.5,140.6,118.1,36.3,25.1,2131.7,86.6,825.2,1040.4,179.5,377,,BAKSA,
Assam,Baksa,IMD110-P377,1930,7.9,7.6,138.9,159.4,164.1,572.3,151.1,257.8,202.3,31.7,40.6,6.4,1740.1,15.5,462.4,1183.5,78.7,377,,BAKSA,
Assam,Baksa,IMD110-P377,1931,0.0,9.4,49.4,230.2,308.5,413.3,504.9,217.9,192.5,93.5,0.8,30.5,2050.9,9.4,588.1,1328.6,124.8,377,,BAKSA,
Assam,Baksa,IMD110-P377,1932,2.0,21.8,46.0,163.4,318.0,392.0,165.7,125.9,151.5,68.8,18.0,9.1,1482.2,23.8,527.4,835.1,95.9,377,,BAKSA,
Assam,Baksa,IMD110-P377,1933,10.2,25.5,0.0,119.7,224.6,216.5,189.8,270.7,260.3,113.0,5.3,0.0,1435.6,35.7,344.3,937.3,118.3,377,,BAKSA,
