state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Bihar,Araria,IMD110-P467,1901,19.7,4.0,16.0,6.0,,,301.8,428.8,106.7,0.0,3.8,0.0,,23.7,,,3.8,467,missing_months,ARARIA,
Bihar,Araria,IMD110-P467,1902,,0.0,,17.9,227.2,232.6,306.9,433.7,562.2,45.1,0.0,0.0,,,,1535.4,45.1,467,missing_months,ARARIA,
Bihar,Araria,IMD110-P467,1903,8.4,0.0,0.6,0.0,63.3,264.8,128.5,503.6,263.5,76.8,0.0,0.0,1309.7,8.4,63.9,1160.5,76.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1904,0.0,0.0,0.0,19.5,260.9,142.0,293.5,258.9,128.3,161.9,4.4,0.0,1269.4,0.0,280.3,822.8,166.3,467,,ARARIA,
Bihar,Araria,IMD110-P467,1905,5.5,33.7,17.9,47.8,151.3,171.6,412.9,625.0,505.5,59.8,0.0,0.0,2030.9,39.2,216.9,1714.9,59.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1906,7.3,46.5,3.2,0.6,50.8,327.2,684.6,615.9,83.1,42.7,0.0,0.0,1861.8,53.8,54.5,1710.8,42.7,467,,ARARIA,
Bihar,Araria,IMD110-P467,1907,0.0,8.6,33.3,57.0,85.9,273.6,645.2,118.2,100.4,22.9,0.0,1.8,1346.8,8.6,176.3,1137.3,24.7,467,,ARARIA,
Bihar,Araria,IMD110-P467,1908,8.9,37.6,28.2,37.6,108.6,92.3,278.1,197.7,198.1,39.0,0.0,0.8,1026.8,46.5,174.3,766.3,39.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1909,0.8,8.8,0.0,177.6,79.9,633.0,318.5,357.3,251.4,95.3,0.0,4.1,1926.7,9.6,257.6,1560.3,99.3,467,,ARARIA,
Bihar,Araria,IMD110-P467,1910,3.3,0.6,17.2,7.0,194.9,863.0,658.5,220.5,231.8,88.3,0.0,0.0,2285.3,4.0,219.1,1973.9,88.3,467,,ARARIA,
Bihar,Araria,IMD110-P467,1911,18.3,0.0,34.2,23.4,89.8,391.0,541.1,396.8,591.5,124.3,1.5,0.0,2211.8,18.3,147.4,1920.3,125.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1912,7.4,2.5,41.3,53.8,132.5,382.0,486.6,501.2,265.4,1.8,112.2,0.0,1986.8,9.9,227.6,1635.3,114.0,467,,ARARIA,
Bihar,Araria,IMD110-P467,1913,0.0,34.0,7.3,4.8,147.9,606.9,375.8,203.9,363.8,22.8,0.0,46.0,1813.2,34.0,160.0,1550.4,68.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1914,0.0,47.8,10.7,59.5,69.3,173.7,336.5,404.7,,7.6,0.0,0.0,,47.8,139.4,,7.6,467,missing_months,ARARIA,
Bihar,Araria,IMD110-P467,1915,0.3,56.8,17.8,14.4,148.7,325.4,454.1,463.0,97.2,166.9,5.8,0.0,1750.3,57.1,180.8,1339.7,172.6,467,,ARARIA,
Bihar,Araria,IMD110-P467,1916,1.3,16.3,8.9,69.9,86.1,531.1,1005.0,275.4,337.3,91.2,0.0,0.0,2422.4,17.5,165.0,2148.8,91.2,467,,ARARIA,
Bihar,Araria,IMD110-P467,1917,1.3,1.0,5.7,15.1,150.8,227.9,541.0,281.9,285.8,185.1,0.0,0.0,1695.6,2.3,171.6,1336.6,185.1,467,,ARARIA,
Bihar,Araria,IMD110-P467,1918,0.0,0.0,2.0,39.7,307.4,402.2,369.8,631.5,179.1,46.5,0.0,0.0,1978.1,0.0,349.1,1582.5,46.5,467,,ARARIA,
Bihar,Araria,IMD110-P467,1919,24.0,0.5,0.0,2.5,60.9,237.6,386.2,161.3,315.9,51.4,0.0,,,24.5,63.5,1100.8,,467,missing_months,ARARIA,
Bihar,Araria,IMD110-P467,1920,0.0,26.3,29.3,2.5,74.9,238.3,233.7,324.6,563.0,8.4,0.0,0.0,1501.0,26.3,106.8,1359.6,8.4,467,,ARARIA,
Bihar,Araria,IMD110-P467,1921,28.9,0.0,13.2,71.9,112.6,190.0,747.2,439.8,243.6,90.7,0.0,0.0,1937.9,28.9,197.7,1620.6,90.7,467,,ARARIA,
Bihar,Araria,IMD110-P467,1922,7.3,0.5,0.0,13.0,113.7,490.4,481.1,255.8,155.1,16.5,3.3,0.0,1536.7,7.8,126.7,1382.5,19.8,467,,ARARIA,
Bihar,Araria,IMD110-P467,1923,0.0,38.5,0.5,21.3,201.3,400.1,379.3,167.3,146.8,94.1,0.0,0.0,1449.0,38.5,223.0,1093.4,94.1,467,,ARARIA,
