state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
chhattisgarh,Bastar,IMD110-P2217,1910,0.0,0.0,0.0,50.5,56.2,251.3,503.6,325.0,300.9,272.9,26.4,0.0,1786.8,0.0,106.7,1380.8,299.3,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1911,0.0,0.0,,6.9,69.3,270.1,344.0,458.5,316.6,,36.1,,,0.0,,1389.2,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1912,0.0,56.9,0.0,66.7,64.2,36.5,460.6,372.9,334.9,50.1,20.5,0.0,1463.3,56.9,130.9,1204.9,70.6,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1913,0.0,29.2,0.3,41.9,19.7,164.0,328.6,307.5,277.5,99.5,1.0,0.0,1269.2,29.2,61.9,1077.6,100.5,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1914,0.0,2.5,20.3,70.9,66.2,450.8,363.8,317.1,404.6,23.3,0.0,23.7,1743.2,2.5,157.4,1536.3,47.0,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1915,50.5,46.0,30.9,55.4,88.1,218.9,262.2,446.6,200.8,94.3,12.5,0.0,1506.2,96.5,174.4,1128.5,106.8,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1916,0.0,1.0,0.0,33.0,42.6,129.7,272.6,362.3,240.5,70.5,20.5,0.0,1172.7,1.0,75.6,1005.1,91.0,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1917,0.0,41.1,0.0,43.4,118.8,360.5,325.8,186.3,542.3,373.8,2.6,0.0,1994.6,41.1,162.2,1414.9,376.4,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1918,38.9,0.0,10.7,26.6,105.7,284.2,296.2,534.8,195.6,15.7,4.8,20.8,1534.0,38.9,143.0,1310.8,41.3,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1919,31.0,202.4,38.3,8.2,48.7,335.9,362.1,433.1,186.4,216.7,66.2,14.0,1943.0,233.4,95.2,1317.5,296.9,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1920,9.9,1.0,6.4,64.9,22.9,155.5,267.2,280.6,95.3,49.6,0.0,0.0,953.3,10.9,94.2,798.6,49.6,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1921,18.8,0.0,0.0,30.7,0.0,263.5,254.6,310.1,248.1,60.5,0.0,0.0,1186.3,18.8,30.7,1076.3,60.5,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1922,2.3,0.0,0.0,,63.0,,487.7,260.3,277.4,104.4,51.4,,,2.3,,,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1923,0.0,25.4,4.6,65.4,20.1,81.2,195.3,199.3,182.8,88.5,19.3,0.0,881.9,25.4,90.1,658.6,107.8,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1924,44.9,0.0,1.0,44.3,49.6,151.9,204.3,404.9,378.2,119.4,153.2,0.0,1551.7,44.9,94.9,1139.3,272.6,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1925,0.0,0.0,0.8,45.5,259.3,371.1,541.1,904.9,169.6,45.9,1.0,0.0,2339.2,0.0,305.6,1986.7,46.9,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1926,87.7,0.0,24.9,105.2,60.3,287.1,346.2,776.1,404.7,61.1,0.0,,,87.7,190.4,1814.1,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1927,5.6,0.8,45.7,9.9,61.6,432.7,552.2,659.2,,152.7,13.7,0.0,,6.4,117.2,,166.4,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1928,0.0,0.5,12.0,17.0,36.1,155.1,,314.1,432.0,97.4,0.0,0.0,,0.5,65.1,,97.4,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1929,0.0,108.8,0.5,94.4,20.3,359.4,673.8,771.8,249.3,85.9,0.0,24.4,2388.6,108.8,115.2,2054.3,110.3,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1930,0.0,0.0,44.2,39.1,20.6,278.5,237.7,223.1,305.0,86.5,108.4,5.1,1348.2,0.0,103.9,1044.3,200.0,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1931,0.0,1.8,6.4,77.8,50.2,33.7,,555.3,,186.2,87.8,,,1.8,134.4,,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1932,0.0,25.2,0.0,34.3,46.3,113.9,532.0,,277.8,13.5,77.0,0.0,,25.2,80.6,,90.5,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1933,0.5,0.5,12.0,25.6,120.6,361.4,365.5,355.2,256.2,71.2,37.2,27.0,1632.9,1.0,158.2,1338.3,135.4,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1934,0.3,0.0,,37.4,,353.4,533.3,663.4,284.0,,24.8,0.0,,0.3,,1834.1,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1935,0.6,0.0,1.0,27.1,23.6,134.5,432.4,259.4,272.6,11.9,0.0,0.0,1163.1,0.6,51.7,1098.9,11.9,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1936,0.0,81.5,14.5,1.8,125.1,497.9,632.1,451.9,,97.7,35.6,0.0,,81.5,141.4,,133.3,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1937,0.0,145.6,34.2,110.8,12.6,113.7,491.9,201.6,195.6,,0.0,0.0,,145.6,157.6,1002.8,,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1938,0.5,25.1,28.0,63.7,68.6,253.0,264.9,293.2,,311.9,36.8,0.0,,25.6,160.3,,348.7,2217,missing_months,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1939,1.4,9.0,59.1,48.1,7.2,151.8,351.1,322.7,298.6,151.9,14.3,0.1,1415.1,10.4,114.4,1124.2,166.2,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1940,0.0,22.2,22.5,42.5,95.0,382.3,403.6,399.5,55.1,80.0,21.0,15.9,1539.8,22.2,160.1,1240.5,117.0,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1941,0.4,0.3,23.5,8.0,64.0,334.3,171.9,201.6,183.5,87.7,14.7,0.0,1090.0,0.7,95.5,891.4,102.4,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1942,0.0,26.5,1.0,71.4,51.5,201.2,511.9,563.9,247.2,9.3,2.1,0.0,1686.0,26.5,123.9,1524.2,11.4,2217,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1943,55.9,0.0,4.7,32.7,85.3,286.7,392.7,336.3,247.0,46.8,3.5,0.0,1491.6,55.9,122.7,1262.7,50.3,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1944,12.4,53.4,122.7,52.4,50.5,143.9,694.0,466.9,391.6,209.7,11.8,0.0,2209.4,65.7,225.7,1696.6,221.5,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1945,27.3,7.9,0.0,126.7,12.3,144.9,473.8,346.6,594.8,50.8,30.9,3.8,1819.6,35.1,139.0,1560.0,85.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1946,0.0,18.5,1.9,81.7,60.8,247.7,490.2,501.2,150.1,61.0,4.2,0.0,1617.4,18.5,144.4,1389.2,65.2,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1947,27.2,23.5,20.9,26.4,27.8,180.1,611.6,451.4,376.3,87.9,12.3,48.3,1893.7,50.8,75.1,1619.4,148.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1948,8.4,9.3,15.4,74.9,32.9,242.4,299.1,316.8,301.2,42.2,111.3,0.0,1454.0,17.7,123.3,1159.5,153.5,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1949,0.0,0.0,3.6,17.2,50.0,218.6,178.4,376.4,315.9,284.4,0.0,0.0,1444.5,0.0,70.9,1089.3,284.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1950,0.0,44.2,32.1,12.1,19.2,153.5,366.2,372.2,136.7,23.6,77.1,0.0,1236.9,44.2,63.4,1028.6,100.7,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1951,0.8,0.0,101.2,59.3,72.6,160.5,511.8,420.7,134.7,76.3,2.0,0.0,1540.0,0.8,233.1,1227.7,78.3,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1952,0.0,15.6,13.3,36.6,22.3,113.6,513.6,279.1,405.1,84.9,0.0,15.5,1499.6,15.6,72.2,1311.4,100.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1953,24.1,0.0,0.0,53.6,20.5,189.8,270.0,640.4,278.0,231.8,5.0,0.0,1712.9,24.1,74.0,1378.1,236.7,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1954,0.0,0.0,14.2,58.1,39.4,122.0,343.7,430.8,413.7,53.8,0.0,3.7,1479.6,0.0,111.7,1310.3,57.5,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1955,0.0,0.6,21.9,52.0,29.4,292.4,261.8,454.2,393.4,261.4,4.4,0.0,1771.5,0.6,103.3,1401.8,265.8,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1956,0.0,7.5,0.0,5.4,160.5,205.3,556.2,411.1,188.3,82.8,3.6,0.0,1620.6,7.5,165.9,1360.9,86.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1957,0.0,8.3,53.0,54.7,42.5,185.2,473.9,444.2,96.7,80.9,0.0,0.0,1439.4,8.3,150.2,1199.9,80.9,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1958,4.0,12.0,11.2,38.8,77.9,111.7,362.4,362.8,265.2,154.5,47.3,0.0,1447.8,16.0,127.8,1102.1,201.8,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1959,16.2,0.0,0.0,5.6,47.0,287.2,291.2,499.2,415.4,161.0,0.0,2.3,1725.3,16.2,52.6,1493.1,163.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1960,12.1,0.0,47.3,28.9,78.1,274.6,415.5,337.7,179.7,180.0,0.9,0.0,1554.7,12.1,154.2,1207.5,180.9,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1961,0.8,39.2,26.5,35.7,63.5,231.9,330.8,395.3,303.1,135.0,31.4,7.0,1600.1,40.0,125.7,1261.2,173.4,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1962,6.6,23.9,7.3,65.3,50.4,175.7,357.8,323.2,157.2,23.5,2.5,32.0,1225.4,30.4,123.0,1013.9,58.0,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1963,0.0,0.0,6.8,87.3,91.7,209.4,170.8,458.4,317.4,118.3,0.0,0.0,1459.9,0.0,185.8,1155.8,118.3,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1964,0.0,26.6,2.1,43.1,8.5,136.7,229.2,612.8,256.9,134.3,0.3,0.0,1450.4,26.6,53.6,1235.6,134.6,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1965,16.3,0.2,17.8,23.2,28.4,134.3,373.5,204.2,174.2,0.2,0.0,0.0,972.2,16.4,69.4,886.1,0.2,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1966,44.5,0.0,11.3,41.2,26.0,237.7,277.1,243.3,266.3,19.6,15.6,27.4,1210.0,44.5,78.5,1024.4,62.7,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1967,0.3,0.0,118.8,34.7,20.3,279.0,305.5,462.7,163.0,14.2,0.1,79.7,1478.1,0.3,173.8,1210.1,93.9,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1968,11.6,26.6,67.3,73.3,22.2,186.4,313.3,112.6,361.6,144.6,6.3,4.7,1330.5,38.2,162.8,973.9,155.6,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1969,4.4,0.0,3.6,37.3,64.5,208.4,495.8,267.2,308.0,60.0,15.6,73.2,1538.1,4.4,105.3,1279.5,148.8,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1970,4.9,4.2,62.4,121.8,42.0,288.7,304.7,571.3,241.3,18.6,0.0,0.0,1659.9,9.1,226.2,1406.0,18.6,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1971,7.5,38.3,6.7,80.6,143.6,249.9,174.0,353.0,128.1,76.5,41.8,0.0,1299.9,45.8,230.8,905.0,118.3,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1972,0.0,8.4,0.0,2.9,13.0,213.7,401.4,292.7,302.6,33.2,35.4,0.0,1303.5,8.4,15.9,1210.5,68.7,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1973,0.0,0.0,3.1,13.2,8.1,128.7,525.8,303.8,90.8,214.0,0.2,0.0,1287.8,0.0,24.4,1049.2,214.2,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1974,0.0,0.0,1.0,9.1,28.8,246.1,181.7,289.1,99.0,60.7,17.6,0.0,933.1,0.0,38.9,815.9,78.3,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1975,7.6,6.5,1.3,19.7,29.9,294.9,370.8,450.4,415.1,231.5,1.7,0.0,1829.2,14.1,50.8,1531.2,233.2,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1976,0.0,0.0,3.1,30.8,62.6,136.8,649.6,424.3,157.2,3.6,20.5,1.7,1490.2,0.0,96.5,1367.9,25.7,2218,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1977,0.0,0.6,4.5,79.6,53.2,183.7,570.0,491.1,238.9,37.1,107.8,12.1,1778.4,0.6,137.2,1483.7,156.9,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1978,11.8,24.4,9.6,35.7,33.3,265.7,414.1,674.8,213.0,50.6,34.7,0.3,1768.1,36.3,78.6,1567.6,85.7,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1979,0.5,14.2,0.0,20.7,22.7,297.8,252.5,289.3,287.4,67.7,3.9,23.6,1280.4,14.7,43.5,1127.0,95.2,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1980,4.0,1.3,4.0,19.3,22.9,376.1,463.4,357.0,384.1,21.9,0.1,2.6,1656.7,5.3,46.2,1580.6,24.5,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1981,15.7,1.2,31.6,27.8,37.2,165.6,315.8,548.5,253.6,18.6,2.0,0.0,1417.6,16.9,96.6,1283.5,20.6,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1982,0.1,3.0,8.9,25.3,30.1,185.8,379.3,570.1,202.3,45.8,24.1,4.5,1479.2,3.1,64.3,1337.4,74.4,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1983,1.4,17.4,3.5,3.5,27.7,275.5,348.9,427.4,333.6,90.7,2.7,6.6,1538.9,18.8,34.7,1385.4,100.0,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1984,12.7,0.0,0.0,56.6,19.5,228.2,224.8,324.7,101.7,50.3,0.0,0.0,1018.6,12.7,76.1,879.4,50.3,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1985,11.9,2.0,3.0,19.1,29.7,247.9,328.6,387.2,221.2,138.8,0.0,0.3,1389.7,13.9,51.8,1184.8,139.2,2219,,BASTAR,
chhattisgarh,Bastar,IMD110-P2217,1986,42.6,41.9,2.2,51.1,10.8,354.6,383.7,521.8,128.5,107.3,59.7,7.5,1711.6,84.4,64.0,1388.7,174.5,2219,,BASTAR,
