state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Delhi,Central Delhi,IMD110-P2280,1941,59.4,11.5,3.8,0.0,15.3,81.3,0.0,137.6,53.9,0.0,0.0,7.4,370.2,70.9,19.1,272.8,7.4,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1942,25.6,81.8,0.0,3.8,12.6,3.0,272.7,127.2,144.5,0.0,0.0,0.0,671.2,107.4,16.4,547.4,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1943,0.0,0.0,0.0,6.4,3.6,11.7,92.9,126.0,173.1,0.0,0.0,0.0,413.7,0.0,10.0,403.7,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1944,7.6,45.2,30.4,53.3,0.0,58.2,458.1,52.8,153.4,69.6,0.0,0.0,928.6,52.8,83.7,722.5,69.6,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1945,0.0,0.0,0.0,0.0,0.0,0.0,246.4,156.7,339.2,0.0,0.0,0.0,742.3,0.0,0.0,742.3,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1946,0.0,0.0,0.0,0.0,0.0,57.2,118.6,168.1,0.0,0.0,0.0,0.0,343.9,0.0,0.0,343.9,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1947,0.0,0.0,6.4,0.0,2.5,0.0,,31.8,0.0,0.0,0.0,0.0,,0.0,8.9,,0.0,2280,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1948,12.7,19.1,20.8,0.0,0.0,0.0,31.8,76.3,27.8,0.0,0.0,0.0,188.5,31.8,20.8,135.9,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1949,0.0,0.0,0.0,0.0,0.0,0.0,298.5,0.0,0.0,0.0,0.0,0.0,298.5,0.0,0.0,298.5,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1952,11.5,11.9,69.1,8.1,24.9,33.1,156.2,229.2,0.0,0.0,0.0,4.6,548.6,23.4,102.1,418.5,4.6,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1953,49.7,2.8,0.0,10.1,0.0,61.7,209.6,137.1,53.9,4.6,0.0,0.0,529.5,52.5,10.1,462.3,4.6,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1954,36.3,116.7,17.8,0.0,12.5,22.4,184.0,46.5,77.8,254.2,0.0,0.0,768.2,153.0,30.3,330.7,254.2,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1955,42.1,1.3,3.8,11.1,11.5,72.7,76.5,220.2,262.6,101.8,0.0,0.0,803.6,43.4,26.4,632.0,101.8,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1956,18.1,,11.4,1.0,0.0,14.0,240.7,192.5,12.7,276.9,,0.0,,,12.4,459.9,,2280,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1957,132.8,0.0,87.9,2.5,0.0,0.0,712.2,394.4,452.1,68.9,3.8,0.0,1854.6,132.8,90.4,1558.7,72.7,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1958,3.6,0.0,18.0,5.1,14.0,0.0,319.0,240.7,255.2,2.6,2.0,0.0,860.2,3.6,37.1,814.9,4.6,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1959,57.3,1.4,0.0,0.0,3.6,40.6,98.4,158.8,112.5,,,,,58.7,3.6,410.3,,2280,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1960,13.5,0.0,42.2,2.7,0.0,25.9,273.1,237.2,9.1,88.7,0.0,0.0,692.3,13.5,44.9,545.3,88.7,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1961,13.8,30.9,0.0,2.0,13.5,60.2,171.6,524.3,63.9,49.0,0.0,10.3,939.6,44.8,15.5,820.0,59.4,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1962,55.2,35.8,6.0,0.0,0.9,14.7,175.4,81.1,96.4,0.0,0.7,11.3,477.5,91.0,7.0,367.6,12.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1963,0.0,7.7,4.5,2.4,13.7,142.8,53.4,339.9,289.8,0.0,21.7,6.1,882.0,7.7,20.7,825.9,27.8,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1964,0.1,2.1,0.3,0.0,19.1,7.5,563.5,362.7,238.8,0.0,0.0,24.3,1218.3,2.2,19.4,1172.5,24.3,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1965,5.8,7.5,0.5,8.0,2.9,0.5,188.0,238.2,185.9,1.8,0.0,0.0,639.1,13.3,11.5,612.6,1.8,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1966,7.0,15.0,0.1,1.8,54.6,166.3,88.5,315.6,64.0,15.9,1.3,0.0,730.1,22.1,56.5,634.4,17.1,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1967,0.0,0.1,39.9,0.0,0.0,18.2,206.4,596.2,189.3,7.1,11.1,72.9,1141.3,0.1,39.9,1010.2,91.1,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1968,9.5,10.0,22.0,11.0,3.0,40.8,298.6,255.4,1.8,0.0,0.0,0.0,652.1,19.5,36.0,596.6,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1969,1.2,3.1,22.2,0.7,17.3,46.5,314.2,125.4,152.7,0.0,0.0,0.0,683.3,4.2,40.2,638.8,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1970,32.1,51.4,37.6,0.0,42.0,98.2,101.7,301.7,98.2,1.9,0.0,0.0,764.8,83.5,79.6,599.8,1.9,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1971,19.7,18.1,0.6,0.4,55.3,23.1,178.7,295.9,93.2,20.4,0.0,0.0,705.3,37.8,56.3,590.9,20.4,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1972,4.9,45.1,12.7,4.9,0.0,16.4,317.4,291.6,30.4,10.5,63.7,10.3,807.9,50.0,17.7,655.8,84.5,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1973,23.3,5.2,0.0,0.0,23.2,18.3,214.2,251.9,40.3,42.5,0.0,3.6,622.5,28.4,23.2,524.7,46.1,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1974,0.0,0.7,9.3,2.3,5.7,15.3,340.1,128.4,5.6,20.4,0.0,8.4,536.1,0.7,17.4,489.3,28.8,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1975,11.3,2.2,15.5,0.6,0.0,159.9,344.0,391.5,343.0,21.9,0.0,0.0,1289.9,13.5,16.1,1238.4,21.9,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1976,0.0,5.1,10.4,8.2,40.7,103.7,297.8,402.8,45.1,0.0,0.0,3.0,916.8,5.1,59.3,849.4,3.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1977,13.4,2.5,10.6,41.3,28.0,136.2,683.6,46.2,173.7,35.7,0.0,10.6,1181.7,15.9,79.8,1039.6,46.3,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1978,0.0,32.0,37.3,3.9,0.0,91.2,209.7,564.4,239.5,5.3,0.0,0.9,1184.1,32.0,41.1,1104.7,6.2,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1979,30.3,65.1,31.8,10.3,19.4,95.7,155.6,48.0,49.6,0.0,0.0,11.5,517.3,95.4,61.5,348.9,11.5,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1980,2.0,5.1,20.9,0.0,47.3,138.4,374.0,74.4,,14.1,,9.6,,7.1,68.2,,,2280,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1981,45.3,17.2,9.9,0.0,10.1,58.9,217.7,95.8,88.1,0.0,32.0,6.2,581.3,62.5,20.0,460.5,38.3,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1982,14.3,25.9,74.4,24.4,74.1,107.1,165.7,295.6,0.0,20.8,1.0,9.9,813.2,40.2,172.9,568.4,31.6,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1983,49.9,6.0,10.2,339.2,20.7,27.8,260.4,286.5,98.3,54.5,0.0,2.3,1155.8,55.9,370.1,673.0,56.8,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1984,7.2,7.5,0.0,10.6,0.0,24.8,245.2,371.8,72.0,0.0,0.0,0.0,739.1,14.7,10.6,713.8,0.0,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1985,0.0,0.0,0.0,4.3,44.7,28.3,372.6,150.0,76.8,53.7,0.0,32.4,762.8,0.0,49.0,627.7,86.1,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1986,0.0,45.3,13.1,0.0,28.0,70.1,104.3,116.9,154.1,3.2,0.0,0.0,535.0,45.3,41.1,445.4,3.2,2280,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1987,24.1,18.0,9.5,12.0,49.0,46.8,29.8,172.3,0.0,0.0,0.0,0.0,361.5,42.1,70.5,248.9,0.0,2281,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1988,,6.3,,,0.0,88.9,401.3,347.2,130.2,,,,,,,967.6,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1989,68.8,0.0,23.2,0.0,0.0,9.9,40.5,95.7,56.1,,,5.2,,68.8,23.2,202.2,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1990,0.0,108.1,4.3,3.5,71.2,32.8,,283.6,205.2,0.0,,34.2,,108.1,79.0,,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1991,0.0,51.9,4.1,,0.0,,155.2,302.6,,0.0,4.2,18.0,,51.9,,,22.2,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1992,,,,,,,91.3,170.0,103.6,7.0,,,,,,,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1993,42.7,9.5,6.9,0.0,12.5,80.9,361.5,67.2,,,0.0,0.0,,52.2,19.4,,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1994,24.5,7.2,1.2,21.6,4.5,98.6,459.2,213.2,51.5,0.0,0.0,,,31.7,27.3,822.5,,2281,missing_months,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1995,70.3,25.5,16.0,0.0,0.0,46.9,58.4,578.0,165.0,0.0,0.0,0.0,960.1,95.8,16.0,848.3,0.0,2281,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1996,10.4,34.1,3.2,0.1,18.5,216.1,162.3,254.3,200.7,24.6,0.0,0.0,924.3,44.5,21.8,833.4,24.6,2281,,CENTRAL DELHI,
Delhi,Central Delhi,IMD110-P2280,1997,6.0,2.3,17.9,49.0,55.9,109.9,114.1,167.3,48.8,63.1,54.0,68.6,756.9,8.3,122.8,440.1,185.7,2281,,CENTRAL DELHI,
