state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Goa,North Goa,IMD110-P2293,1901,0.0,0.0,0.0,135.4,24.6,1462.5,590.4,352.5,104.1,20.8,7.1,0.8,2698.2,0.0,160.0,2509.5,28.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1902,0.0,0.0,0.0,0.0,7.9,897.9,1111.6,339.2,713.1,59.2,122.4,69.1,3320.4,0.0,7.9,3061.8,250.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1903,0.0,0.0,0.0,0.0,222.1,602.2,1051.1,627.8,213.5,53.1,30.5,3.6,2803.9,0.0,222.1,2494.6,87.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1904,0.0,0.0,0.0,8.9,25.7,1227.4,977.5,225.9,271.0,59.7,0.0,0.0,2796.1,0.0,34.6,2701.8,59.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1905,0.0,0.0,0.0,2.8,30.7,672.0,286.5,215.2,182.4,134.3,8.9,0.0,1532.8,0.0,33.5,1356.1,143.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1906,7.9,0.0,0.0,0.0,31.2,683.0,968.2,333.8,165.2,70.0,8.9,9.1,2277.3,7.9,31.2,2150.2,88.0,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1907,19.6,0.0,0.0,74.9,0.0,756.9,822.9,521.2,172.3,9.1,1.8,1.8,2380.5,19.6,74.9,2273.3,12.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1908,0.0,0.0,0.0,0.0,4.0,589.3,1542.6,486.7,190.1,16.8,0.0,0.0,2829.5,0.0,4.0,2808.7,16.8,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1909,0.0,0.0,0.0,0.0,0.0,824.6,1020.5,218.8,230.7,15.0,0.0,0.0,2309.6,0.0,0.0,2294.6,15.0,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1910,0.0,0.0,2.5,0.0,24.9,1098.2,461.6,220.1,378.8,28.5,70.3,0.0,2284.9,0.0,27.4,2158.7,98.8,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1911,0.0,0.0,0.0,0.0,158.8,607.6,732.5,396.8,111.2,21.8,39.9,0.0,2068.6,0.0,158.8,1848.1,61.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1912,0.0,0.0,0.0,49.5,51.0,1143.9,1003.9,433.6,90.8,61.7,68.0,0.0,2902.4,0.0,100.5,2672.2,129.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1913,0.0,0.0,0.0,4.8,35.6,857.0,831.7,265.4,180.2,224.4,0.0,0.0,2399.1,0.0,40.4,2134.3,224.4,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1914,0.0,0.0,0.0,6.1,1.8,902.3,935.3,937.4,370.4,43.8,8.9,4.8,3210.8,0.0,7.9,3145.4,57.5,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1915,0.0,0.0,1.5,10.9,13.9,929.3,803.8,509.7,295.6,91.2,0.0,0.0,2655.9,0.0,26.3,2538.4,91.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1916,0.0,0.0,0.0,4.8,108.9,1094.9,735.7,413.8,863.5,118.9,101.7,0.0,3442.2,0.0,113.7,3107.9,220.6,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1917,0.0,25.9,0.0,0.0,21.1,717.3,528.9,696.4,494.2,281.3,79.1,0.0,2844.2,25.9,21.1,2436.8,360.4,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1918,0.0,0.0,0.0,1.5,746.9,377.9,363.4,364.6,138.8,0.8,85.4,0.0,2079.3,0.0,748.4,1244.7,86.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1919,0.0,0.0,0.0,0.0,6.8,562.3,835.3,440.8,139.1,158.4,42.1,49.8,2234.6,0.0,6.8,1977.5,250.3,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1920,0.0,0.0,0.0,33.3,12.0,543.6,616.4,293.5,187.0,44.3,1.0,0.0,1731.1,0.0,45.3,1640.5,45.3,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1921,0.0,0.0,0.0,19.5,0.0,778.5,760.0,393.8,284.7,71.1,55.7,0.0,2363.3,0.0,19.5,2217.0,126.8,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1922,0.0,0.0,0.0,10.1,28.1,1036.9,1053.7,344.2,169.8,14.2,211.8,0.0,2868.8,0.0,38.2,2604.6,226.0,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1923,0.0,0.0,0.0,0.0,19.1,469.4,1409.2,446.0,274.3,15.7,1.5,0.0,2635.2,0.0,19.1,2598.9,17.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1924,0.0,0.0,0.0,0.0,0.0,918.6,1037.7,302.0,214.2,15.2,3.0,0.0,2490.7,0.0,0.0,2472.5,18.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1925,0.0,0.0,0.0,63.6,177.4,810.8,589.4,567.2,96.9,47.9,34.4,0.0,2387.6,0.0,241.0,2064.3,82.3,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1926,11.7,0.0,0.0,0.0,2.5,552.6,706.1,589.2,259.3,12.9,0.0,0.0,2134.3,11.7,2.5,2107.2,12.9,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1927,0.0,0.0,0.0,0.5,33.3,351.6,836.8,292.5,205.5,79.2,73.5,0.0,1872.9,0.0,33.8,1686.4,152.7,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1928,0.0,0.8,4.9,4.9,8.2,593.5,1062.3,934.6,293.8,279.6,66.6,0.1,3249.3,0.8,18.0,2884.2,346.2,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1929,1.6,0.0,2.1,16.5,40.5,1060.5,974.4,637.9,280.1,231.5,62.2,7.6,3314.9,1.6,59.1,2952.8,301.3,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1930,0.0,0.0,0.0,0.0,19.2,903.4,621.5,398.8,355.9,317.2,52.1,2.6,2670.6,0.0,19.2,2279.5,371.9,2293,,NORTH GOA,
Goa,North Goa,IMD110-P2293,1931,0.0,0.0,0.0,8.8,14.2,526.0,1699.5,1144.1,380.8,298.7,155.3,39.5,4266.8,0.0,23.0,3750.3,493.5,2293,,NORTH GOA,
