state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Gujarat,Ahmedabad,IMD110-P611,1901,0.3,0.0,0.2,0.0,8.0,15.1,179.0,191.2,20.4,10.0,0.0,0.0,424.2,0.3,8.2,405.7,10.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1902,0.5,0.0,0.0,0.2,5.0,10.7,104.9,258.0,325.9,0.7,0.0,7.3,713.2,0.5,5.2,699.5,8.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1903,0.0,0.0,0.0,0.0,2.9,14.3,324.1,143.3,87.4,0.6,0.0,0.0,572.7,0.0,2.9,569.2,0.6,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1904,0.0,12.6,16.2,0.0,1.8,32.4,138.4,21.3,62.0,0.0,0.0,0.0,284.7,12.6,18.1,254.0,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1905,0.0,0.5,0.8,1.9,0.0,8.7,796.6,21.9,65.8,0.0,0.0,0.2,896.3,0.5,2.7,892.9,0.2,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1906,0.1,8.3,0.0,0.0,1.2,191.0,210.2,150.2,69.3,14.1,0.0,0.0,644.2,8.3,1.2,620.6,14.1,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1907,0.2,14.1,0.0,1.4,0.6,72.6,276.5,448.7,5.4,0.0,0.0,0.0,819.5,14.3,2.1,803.1,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1908,4.2,0.0,0.0,0.0,0.8,36.9,312.2,351.6,6.3,0.0,0.0,0.0,712.0,4.2,0.8,707.0,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1909,0.0,1.2,0.0,4.0,12.2,139.6,294.2,173.8,106.6,4.5,0.0,2.2,738.2,1.2,16.2,714.2,6.7,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1910,0.2,0.0,0.0,1.0,0.0,169.9,141.9,218.7,23.3,9.1,0.0,0.0,564.0,0.2,1.0,553.8,9.1,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1911,0.3,0.0,26.4,0.0,9.4,121.2,33.4,14.8,44.5,0.0,0.2,0.0,250.2,0.3,35.8,213.9,0.2,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1912,0.0,0.0,0.0,1.9,0.2,51.4,547.1,291.1,35.5,4.2,5.1,0.0,936.5,0.0,2.1,925.0,9.4,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1913,0.0,0.0,0.3,0.0,9.7,227.0,296.7,112.4,124.7,1.0,0.1,1.4,773.3,0.0,10.0,760.8,2.4,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1914,0.0,0.5,0.3,0.2,22.5,175.0,301.7,128.7,176.9,12.8,4.1,0.0,822.8,0.5,23.0,782.4,16.9,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1915,4.0,1.6,8.1,0.2,6.1,75.3,70.1,20.6,26.5,110.0,0.0,0.0,322.5,5.6,14.4,192.5,110.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1916,0.0,0.0,0.0,0.4,14.2,54.6,121.8,243.9,112.8,34.3,0.0,0.0,582.0,0.0,14.6,533.1,34.3,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1917,0.0,12.1,0.3,4.1,103.6,66.3,293.3,290.4,261.5,189.2,0.0,0.0,1220.7,12.1,107.9,911.5,189.2,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1918,0.0,0.0,0.0,0.0,6.7,24.5,51.8,100.1,11.2,2.2,0.0,0.0,196.5,0.0,6.7,187.6,2.2,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1919,3.3,0.0,0.0,0.1,5.3,74.5,187.3,246.8,39.8,3.5,37.8,0.0,598.4,3.3,5.4,548.4,41.3,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1920,1.3,0.0,0.0,0.0,77.0,163.9,195.9,59.4,17.8,0.0,0.0,0.0,515.4,1.3,77.0,437.1,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1921,0.0,0.0,0.0,0.0,0.0,9.8,328.8,137.8,295.7,0.0,0.0,0.0,772.2,0.0,0.0,772.2,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1922,0.0,0.0,0.0,0.0,0.0,68.4,232.7,49.7,206.7,0.0,1.4,0.0,558.8,0.0,0.0,557.4,1.4,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1923,0.0,4.3,0.0,0.2,1.2,14.0,162.3,113.9,34.9,1.0,0.0,0.0,331.9,4.3,1.4,325.2,1.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1924,0.3,0.0,0.3,0.0,15.7,110.7,236.6,92.7,116.9,0.3,0.0,0.4,573.7,0.3,16.0,556.9,0.6,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1925,0.0,0.0,0.0,0.0,31.3,213.5,189.4,33.4,0.4,0.1,23.9,0.0,492.1,0.0,31.3,436.7,24.1,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1926,2.5,0.0,0.0,2.2,13.4,19.2,293.1,307.6,300.7,0.0,0.0,0.0,938.6,2.5,15.6,920.6,0.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1927,0.0,1.7,0.0,0.0,0.9,121.5,1074.0,119.7,96.9,12.1,1.8,16.1,1444.5,1.7,0.9,1412.0,30.0,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1928,0.0,0.1,0.0,0.0,0.0,4.7,261.5,210.8,148.0,8.3,20.0,0.0,653.4,0.1,0.0,625.0,28.3,611,,AHMEDABAD,
Gujarat,Ahmedabad,IMD110-P611,1929,0.7,0.0,0.0,3.0,0.0,70.4,206.4,99.8,22.2,1.6,0.0,13.6,417.8,0.7,3.0,398.8,15.3,611,,AHMEDABAD,
