state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Haryana,Ambala,IMD110-P695,1901,96.7,130.5,42.7,0.0,21.2,28.8,241.9,277.3,49.5,16.1,0.0,10.8,915.6,227.2,63.9,597.6,26.9,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1902,0.2,1.8,9.2,20.9,23.8,89.2,328.6,65.9,125.5,29.7,0.0,0.0,694.7,2.0,53.8,609.2,29.7,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1903,59.5,0.2,12.2,0.8,13.5,29.8,233.5,272.4,205.3,7.6,0.0,20.8,855.6,59.6,26.5,741.1,28.4,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1904,27.5,5.5,72.5,8.4,30.6,38.2,194.8,103.7,56.5,0.8,19.6,34.0,592.0,33.0,111.4,393.2,54.5,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1905,64.4,79.2,36.2,1.5,4.4,45.4,170.9,132.7,150.3,0.0,0.0,10.2,695.2,143.6,42.1,499.3,10.2,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1906,23.3,136.4,51.6,0.4,0.2,143.7,254.3,373.9,206.6,0.0,0.0,2.6,1193.0,159.7,52.2,978.5,2.6,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1907,17.9,98.8,65.8,48.6,4.0,7.4,144.7,268.2,3.6,2.2,0.0,0.0,661.2,116.7,118.4,423.9,2.2,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1908,45.9,30.3,1.4,22.4,22.2,8.3,171.7,402.6,14.3,0.0,5.8,6.9,731.9,76.2,46.1,596.9,12.8,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1909,17.3,12.1,1.3,37.2,4.9,128.3,348.7,239.0,110.1,1.9,0.0,43.6,944.3,29.4,43.4,826.1,45.5,695,,AMBALA,
Haryana,Ambala,IMD110-P695,1910,35.0,25.8,0.3,3.2,12.5,163.3,206.5,272.2,289.2,65.3,0.0,20.9,1094.1,60.8,16.0,931.2,86.1,695,,AMBALA,
