state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Himachal Pradesh,Bilaspur,IMD110-P759,1954,115.6,190.0,15.7,0.0,0.0,45.7,360.7,333.3,309.9,95.3,0.0,0.0,1466.2,305.6,15.7,1049.6,95.3,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1955,76.5,13.5,58.6,30.2,24.9,40.2,282.5,346.6,193.9,287.4,0.0,5.1,1359.4,90.0,113.7,863.2,292.5,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1956,22.8,30.2,94.6,9.6,8.6,124.6,384.3,334.5,88.2,175.0,0.0,10.3,1282.7,53.0,112.8,931.6,185.3,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1957,137.2,2.8,82.4,26.7,29.4,70.1,410.6,365.0,259.5,54.3,34.8,65.4,1538.3,140.0,138.5,1105.3,154.5,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1958,50.3,2.7,46.8,13.9,14.0,70.1,425.7,269.0,199.1,55.2,0.0,57.6,1204.4,53.0,74.7,964.0,112.8,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1959,87.3,55.0,56.3,4.9,14.9,30.5,470.9,272.6,331.2,27.2,23.2,0.0,1374.1,142.4,76.1,1105.2,50.4,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1960,39.4,0.0,51.9,12.1,27.6,50.0,595.9,317.0,36.4,3.9,1.1,63.0,1198.2,39.4,91.5,999.3,67.9,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1961,117.1,193.2,11.9,12.8,3.0,126.5,473.5,350.1,98.1,52.7,15.3,23.1,1477.4,310.3,27.7,1048.3,91.1,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1962,65.8,55.1,72.1,34.9,5.2,95.1,291.5,197.7,438.5,0.0,54.7,16.9,1327.3,120.9,112.2,1022.7,71.6,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1963,14.9,25.8,167.9,17.0,19.1,142.5,288.9,295.9,120.1,0.0,37.2,28.1,1157.3,40.6,203.9,847.4,65.3,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1964,69.3,42.5,4.6,11.2,66.7,15.1,295.4,392.7,302.1,0.0,0.0,25.0,1224.6,111.8,82.5,1005.2,25.0,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1965,25.9,86.5,99.9,65.5,102.1,40.7,197.4,135.3,58.6,31.4,14.6,7.5,865.5,112.4,267.5,432.0,53.5,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1966,0.0,56.4,41.9,0.4,55.3,286.5,245.3,329.4,152.1,24.0,8.1,36.9,1236.4,56.4,97.7,1013.3,69.0,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1967,0.0,23.5,137.4,0.9,6.7,59.1,517.1,409.3,170.9,40.8,4.8,77.6,1448.1,23.5,145.0,1156.4,123.2,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1968,110.9,111.0,46.1,13.1,25.8,115.9,273.3,244.9,1.8,25.4,0.4,100.1,1068.6,221.9,85.0,635.9,125.8,759,,BILASPUR,
Himachal Pradesh,Bilaspur,IMD110-P759,1969,28.3,68.2,39.7,43.3,84.8,56.9,412.8,344.7,177.8,5.5,0.0,0.0,1261.9,96.4,167.8,992.2,5.5,759,,BILASPUR,
