state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Islands,South Andaman,IMD110-P2301,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1902,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5,3520.7,159.8,458.3,2185.9,716.7,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1903,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0,2957.4,156.7,236.1,1874.0,690.6,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1904,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571.0,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1905,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1906,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1907,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1908,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106.0,591.0,2303.7,575.7,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701.0,629.0,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1911,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1912,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,85.3,194.5,1596.7,489.3,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1914,0.0,0.0,0.0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0.0,336.5,2007.4,613.9,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0,2741.3,101.7,244.4,1350.7,1044.5,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1916,0.0,0.0,0.0,0.5,487.4,450.1,317.3,425.0,561.2,369.7,192.6,133.7,2937.5,0.0,487.9,1753.6,696.0,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1917,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3,2301,,SOUTH ANDAMAN,
Islands,South Andaman,IMD110-P2301,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227.0,366.9,175.0,3275.0,84.3,751.4,1670.4,768.9,2301,,SOUTH ANDAMAN,
