state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Jammu & Kashmir,Anantnag,IMD110-P792,1901,54.6,229.1,40.8,70.8,101.5,96.4,41.3,40.4,109.8,29.2,0.0,3.5,817.4,283.7,213.1,287.9,32.7,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1902,,11.7,58.4,125.0,122.9,50.3,24.0,68.7,18.8,11.6,27.6,0.0,,,306.3,161.8,39.2,792,missing_months,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1903,40.5,26.1,189.9,84.3,48.3,16.4,305.8,67.6,95.4,3.3,31.4,96.8,1005.8,66.6,322.6,485.1,131.5,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1904,131.1,8.5,48.2,59.8,120.1,12.5,97.3,43.2,47.8,33.3,61.4,120.6,783.7,139.6,228.1,200.7,215.3,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1905,63.8,84.9,86.4,55.2,126.2,30.9,87.8,58.9,257.5,13.8,0.0,103.6,968.8,148.6,267.7,435.1,117.3,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1906,121.3,112.6,148.4,55.8,76.2,72.0,13.1,129.3,188.5,1.9,0.0,20.5,939.5,233.9,280.4,402.9,22.4,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1907,109.3,239.2,169.1,255.5,53.7,125.3,53.2,146.4,8.4,38.0,3.4,1.8,1203.2,348.5,478.3,333.3,43.1,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1908,75.1,55.9,32.8,260.6,39.5,14.0,37.7,106.3,61.5,15.8,0.0,141.5,840.5,131.1,332.9,219.4,157.2,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1909,140.2,155.1,82.2,21.7,50.1,32.8,114.8,118.5,249.6,76.6,0.0,37.5,1079.0,295.4,153.9,515.7,114.1,792,,ANANTNAG,
Jammu & Kashmir,Anantnag,IMD110-P792,1910,134.5,120.3,44.8,155.9,41.7,91.9,36.4,107.2,7.6,0.0,0.0,64.1,804.2,254.7,242.3,243.1,64.1,792,,ANANTNAG,
