state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Jharkhand,Bokaro,IMD110-P2084,1901,,,6.9,8.6,,,300.5,231.4,247.3,36.4,14.0,0.0,,,,,50.4,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1902,0.0,8.6,9.2,19.8,,84.6,234.2,206.0,562.7,33.5,3.8,0.0,,8.6,,1087.5,37.3,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1903,8.9,1.3,33.0,22.9,171.7,248.4,165.4,,156.6,335.1,0.0,0.0,,10.2,227.6,,335.1,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1904,0.0,12.4,,6.1,57.2,220.4,537.9,157.6,119.1,0.0,0.0,0.0,,12.4,,1035.0,0.0,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1905,30.2,66.0,33.9,,,,,,,10.2,0.0,2.8,,96.2,,,13.0,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1906,33.5,81.2,39.9,,24.1,170.4,224.6,209.0,106.0,,0.0,0.0,,114.7,,710.0,,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1907,19.1,15.3,181.3,12.4,7.1,199.8,208.0,445.8,216.3,0.0,0.0,12.7,1317.8,34.4,200.8,1069.9,12.7,2084,,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1908,14.0,35.6,1.5,0.0,62.2,189.8,148.4,403.5,198.4,8.9,0.0,0.0,1062.3,49.6,63.7,940.1,8.9,2084,,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1909,16.5,15.0,0.0,53.1,10.7,137.8,291.1,370.1,306.1,0.0,,7.7,,31.5,63.8,1105.1,,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1910,0.0,0.0,,30.5,50.5,208.1,255.2,172.7,167.7,40.6,0.0,0.0,,0.0,,803.7,40.6,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1911,0.0,0.0,41.1,0.0,12.7,232.7,,312.6,411.3,181.6,45.7,0.0,,0.0,53.8,,227.3,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1912,0.0,1.3,0.0,7.6,0.0,52.0,,271.2,39.6,0.0,,0.0,,1.3,7.6,,,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1913,0.0,,0.0,0.0,74.6,95.2,45.0,200.4,,0.0,,,,,74.6,,,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1914,0.0,101.6,0.0,9.7,189.2,94.1,450.2,,229.4,0.0,0.0,0.0,,101.6,198.9,,0.0,2084,missing_months,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1915,0.0,13.0,32.0,4.6,47.2,217.9,349.8,186.6,337.3,39.7,26.5,0.0,1254.6,13.0,83.8,1091.6,66.2,2084,,BOKARO,
Jharkhand,Bokaro,IMD110-P2084,1916,0.0,16.5,0.0,11.5,2.5,,236.2,220.7,,308.6,,0.0,,16.5,14.0,,,2084,missing_months,BOKARO,
