state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Karnataka,Bagalkote,IMD110-P844,1901,1.5,21.1,1.7,46.4,65.4,62.2,21.3,31.2,119.5,76.1,10.2,0.0,456.6,22.7,113.5,234.1,86.3,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1902,0.0,0.0,0.0,16.2,33.5,125.5,34.8,48.2,103.9,98.4,41.5,90.2,592.0,0.0,49.7,312.3,230.0,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1903,7.7,0.0,0.0,4.2,19.5,86.9,81.1,96.9,203.3,117.8,39.6,6.2,663.1,7.7,23.7,468.2,163.5,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1904,0.7,0.0,7.2,8.2,32.3,34.3,69.0,11.4,145.8,77.9,0.0,0.0,386.7,0.7,47.6,260.5,77.9,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1905,0.0,0.1,0.0,12.6,54.5,77.4,20.0,107.7,25.3,37.7,0.0,0.0,335.5,0.1,67.2,230.5,37.7,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1906,8.7,0.0,0.0,0.3,47.0,83.4,44.0,153.1,89.5,82.2,10.3,40.4,559.0,8.7,47.3,370.1,132.9,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1907,0.9,0.0,3.0,84.0,2.9,76.6,137.9,54.4,196.4,2.5,21.0,5.0,584.7,0.9,90.0,465.4,28.5,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1908,0.0,0.0,0.9,18.2,12.4,48.6,41.2,18.9,245.3,3.4,0.0,0.0,389.0,0.0,31.6,354.0,3.4,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1909,3.0,0.0,15.9,7.4,37.1,51.6,40.6,185.9,135.6,32.4,18.7,1.3,529.5,3.0,60.4,413.7,52.4,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1910,0.0,0.0,1.5,0.1,21.3,28.3,151.5,175.2,169.8,98.9,32.9,0.0,679.6,0.0,22.9,524.9,131.8,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1911,0.0,0.0,0.2,3.0,57.5,86.9,96.0,30.8,59.8,57.0,7.0,8.9,407.1,0.0,60.7,273.4,72.9,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1912,0.0,4.3,0.0,35.3,38.5,59.5,86.5,122.3,108.7,138.8,17.1,0.0,610.8,4.3,73.8,376.9,155.8,844,,BAGALKOTE,
Karnataka,Bagalkote,IMD110-P844,1913,0.0,0.0,0.0,20.9,114.0,45.5,84.6,12.1,82.4,106.1,0.4,5.4,471.4,0.0,134.9,224.6,111.9,844,,BAGALKOTE,
