state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Madhya Pradesh,Alirajpur,IMD110-P1019,1901,4.8,0.0,0.0,2.8,9.1,4.3,187.9,384.6,32.8,1.8,0.0,0.0,628.1,4.8,11.9,609.6,1.8,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1902,12.5,0.0,0.0,0.0,0.0,61.8,186.8,278.9,263.0,18.3,0.0,10.7,832.0,12.5,0.0,790.5,29.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1903,0.0,0.0,0.0,0.0,3.8,21.6,191.6,180.8,275.9,9.7,0.0,0.0,683.4,0.0,3.8,669.9,9.7,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1904,0.0,42.4,13.2,0.0,36.4,15.9,211.0,91.6,293.0,5.1,0.0,0.0,708.6,42.4,49.6,611.5,5.1,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1905,0.0,0.5,0.0,0.0,0.0,17.8,579.7,35.6,121.4,0.0,0.0,0.0,755.0,0.5,0.0,754.5,0.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1906,0.0,8.5,0.0,0.0,0.0,137.5,298.9,330.1,203.8,34.5,0.0,0.0,1013.3,8.5,0.0,970.3,34.5,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1907,0.0,8.1,0.0,0.5,0.0,62.6,134.2,236.6,50.2,0.0,0.0,0.0,492.2,8.1,0.5,483.6,0.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1908,12.2,4.1,9.9,0.0,0.0,196.2,458.6,250.0,35.8,0.0,0.0,0.0,966.8,16.3,9.9,940.6,0.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1909,0.0,0.0,0.0,0.0,0.0,161.0,270.8,293.9,231.2,0.0,0.0,5.9,962.8,0.0,0.0,956.9,5.9,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1910,0.5,0.0,0.0,0.0,0.0,376.2,382.8,270.0,150.2,14.3,13.7,0.0,1207.7,0.5,0.0,1179.2,28.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1911,2.8,0.0,0.0,0.0,0.0,144.6,19.3,86.9,19.1,0.0,7.7,0.0,280.4,2.8,0.0,269.9,7.7,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1912,0.0,,0.0,0.0,1.5,123.3,271.5,350.9,27.1,0.0,84.6,0.0,,,1.5,772.8,84.6,1019,missing_months,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1913,0.0,0.0,0.0,0.0,57.2,225.4,407.0,135.6,126.0,0.0,0.0,0.0,951.2,0.0,57.2,894.0,0.0,1019,,ALIRAJPUR,
Madhya Pradesh,Alirajpur,IMD110-P1019,1914,0.0,4.6,0.0,0.0,0.0,263.4,334.2,98.5,175.1,39.4,0.0,0.0,915.2,4.6,0.0,871.2,39.4,1019,,ALIRAJPUR,
