state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Maharashtra,Ahmednagar,IMD110-P1173,1901,24.8,0.1,9.0,26.0,15.9,80.8,70.4,72.6,66.4,61.6,0.6,0.0,428.2,24.9,50.9,290.3,62.2,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1902,4.7,0.0,0.0,1.0,7.4,63.7,96.1,40.6,182.6,38.3,57.9,59.4,551.6,4.7,8.4,383.0,155.6,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1903,1.4,0.0,0.0,0.1,39.3,88.8,178.1,92.9,108.1,106.1,0.1,1.9,616.9,1.4,39.4,467.9,108.1,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1904,0.5,1.6,0.1,0.3,5.4,57.7,39.6,16.3,162.4,105.9,0.0,0.0,389.7,2.0,5.8,276.0,105.9,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1905,0.0,2.3,0.0,0.0,8.6,76.9,82.1,56.4,31.2,39.9,8.8,0.0,306.2,2.3,8.6,246.6,48.6,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1906,19.5,0.0,0.0,0.0,3.3,163.7,77.9,171.8,43.0,14.1,13.5,12.2,519.0,19.5,3.3,456.4,39.8,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1907,0.4,3.9,1.1,62.6,0.0,90.1,179.4,98.1,47.8,18.5,3.0,0.0,504.8,4.3,63.7,415.3,21.5,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1908,0.0,0.0,2.3,1.4,0.0,74.6,57.4,56.2,215.8,12.2,6.2,0.0,426.1,0.0,3.8,404.0,18.4,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1909,2.3,0.1,0.1,1.0,54.6,162.1,52.4,92.7,149.3,25.9,0.0,2.3,542.7,2.4,55.7,456.4,28.1,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1910,0.0,0.0,0.0,0.0,3.4,188.9,115.3,126.4,323.7,66.9,46.4,0.0,871.0,0.0,3.4,754.4,113.2,1173,,AHMEDNAGAR,
Maharashtra,Ahmednagar,IMD110-P1173,1911,4.9,0.0,0.0,0.0,4.0,99.2,138.6,66.8,6.1,3.0,62.4,0.2,385.3,4.9,4.0,310.7,65.7,1173,,AHMEDNAGAR,
