state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Manipur,Bishnupur,IMD110-P1276,1957,78.0,81.3,0.0,204.5,230.1,298.3,339.9,183.3,193.8,81.4,0.0,0.0,1690.6,159.3,434.6,1015.3,81.4,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1959,32.3,81.9,229.1,50.3,281.9,510.2,375.6,324.1,86.3,381.4,0.0,0.0,2353.1,114.2,561.3,1296.2,381.4,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1960,0.0,4.3,24.6,34.8,131.2,468.5,245.2,264.6,274.8,156.2,52.6,0.0,1656.8,4.3,190.6,1253.1,208.8,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1961,17.0,32.5,367.1,30.7,287.4,364.6,360.8,302.6,230.0,44.9,7.6,0.0,2045.2,49.5,685.2,1258.0,52.5,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1962,0.0,20.8,0.0,168.2,129.5,686.4,316.2,319.3,76.7,156.0,0.0,0.0,1873.1,20.8,297.7,1398.6,156.0,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1963,0.0,0.0,,76.2,134.2,390.5,380.6,302.7,125.1,299.7,2.5,0.0,,0.0,,1198.9,302.2,1276,missing_months,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1965,,,,,,626.2,237.5,,99.6,238.6,2.5,191.5,,,,,432.6,1276,missing_months,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1966,19.7,0.7,1.2,3.3,4.7,873.6,262.0,,,,,,,20.4,9.2,,,1276,missing_months,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1967,562.5,342.5,520.0,42.2,81.9,111.6,109.9,2240.0,1812.5,1635.0,185.0,0.0,7643.1,905.0,644.1,4274.0,1820.0,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1968,,,,88.5,232.3,418.8,413.7,169.9,79.4,103.4,75.6,0.0,,,,1081.8,179.0,1276,missing_months,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1969,23.6,0.0,51.4,58.1,103.6,383.2,268.2,372.6,78.4,96.8,,,,23.6,213.1,1102.4,,1276,missing_months,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1970,87.0,81.5,236.9,0.0,108.7,318.1,413.0,126.9,147.2,269.4,0.0,0.0,1788.7,168.5,345.6,1005.2,269.4,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1971,32.8,44.8,8.3,130.9,189.8,512.4,481.8,334.6,129.9,177.0,133.2,0.0,2175.5,77.6,329.0,1458.7,310.2,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1972,2.0,55.8,52.0,159.2,186.8,212.6,115.9,208.8,52.6,26.9,1.3,0.0,1073.9,57.8,398.0,589.9,28.2,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1973,38.4,46.6,22.4,154.4,103.8,339.4,237.4,281.9,101.2,136.6,183.1,60.2,1705.4,85.0,280.6,959.9,379.9,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1974,13.0,2.2,161.8,121.0,89.8,523.6,383.0,237.0,155.0,135.0,75.0,0.0,1896.4,15.2,372.6,1298.6,210.0,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1975,1.0,21.2,24.6,115.8,156.0,376.4,339.0,112.0,93.0,221.0,212.0,0.0,1672.0,22.2,296.4,920.4,433.0,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1976,2.0,18.0,111.0,201.0,188.0,447.0,384.0,250.0,86.0,26.8,31.0,0.0,1744.8,20.0,500.0,1167.0,57.8,1276,,BISHNUPUR,
Manipur,Bishnupur,IMD110-P1276,1977,18.0,18.6,18.0,307.8,230.6,411.0,235.0,245.0,127.0,79.1,7.5,19.8,1717.4,36.6,556.4,1018.0,106.4,1276,,BISHNUPUR,
Manipur,Chandel,IMD110-P1277,1959,55.4,136.4,185.4,38.7,,,828.8,555.1,379.5,615.1,0.0,12.7,,191.8,,,627.8,1277,missing_months,CHANDEL,
Manipur,Chandel,IMD110-P1277,1960,0.0,0.0,20.3,7.6,236.1,579.0,579.5,494.9,287.1,431.3,82.5,0.0,2718.3,0.0,264.0,1940.5,513.8,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1961,0.0,12.7,107.9,28.0,18.5,23.8,106.5,422.2,546.1,104.3,5.8,0.0,1375.8,12.7,154.4,1098.6,110.1,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1962,8.5,47.2,0.0,129.8,174.3,767.8,415.0,411.6,340.4,212.8,0.0,0.0,2507.4,55.7,304.1,1934.8,212.8,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1963,0.0,0.0,30.2,94.2,341.4,520.5,561.1,524.8,226.4,186.6,0.0,0.0,2485.2,0.0,465.8,1832.8,186.6,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1965,0.0,82.6,0.0,18.8,187.7,827.3,589.0,681.2,411.0,245.6,0.0,25.0,3068.2,82.6,206.5,2508.5,270.6,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1966,15.0,0.0,0.0,36.8,59.8,1332.3,466.3,369.9,807.6,405.4,27.6,77.0,3597.7,15.0,96.6,2976.1,510.0,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1967,14.0,5.5,79.6,158.4,319.3,282.6,492.6,374.4,406.4,253.2,0.0,0.0,2386.0,19.5,557.3,1556.0,253.2,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1968,3.4,,58.4,42.7,73.3,505.1,502.7,486.2,134.4,55.0,0.0,,,,174.4,1628.4,,1277,missing_months,CHANDEL,
Manipur,Chandel,IMD110-P1277,1969,2.2,0.0,31.9,93.4,52.3,533.3,416.8,361.3,268.5,102.0,5.9,0.0,1867.6,2.2,177.6,1579.8,107.9,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1970,77.1,41.9,12.8,37.1,125.5,424.9,237.3,359.1,235.6,444.9,81.3,7.2,2084.7,119.0,175.4,1256.8,533.4,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1971,3.2,9.6,0.0,89.8,153.3,470.8,368.0,351.6,171.4,159.4,56.3,2.0,1835.4,12.8,243.1,1361.8,217.7,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1972,0.0,3.8,11.6,60.4,84.0,128.2,208.9,151.8,11.6,23.8,32.5,0.0,716.6,3.8,156.0,500.5,56.3,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1973,4.1,12.1,7.8,56.4,170.7,345.9,295.9,312.2,305.0,151.8,219.8,9.2,1890.7,16.2,234.8,1259.0,380.8,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1974,0.0,0.0,87.3,36.6,128.7,924.5,329.8,510.3,188.0,33.5,137.6,0.0,2376.3,0.0,252.6,1952.6,171.1,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1975,0.0,20.0,2.7,111.9,110.2,423.8,416.1,281.8,172.4,239.0,114.1,0.0,1892.2,20.0,224.8,1294.3,353.1,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1976,0.0,61.5,48.0,200.0,441.3,,842.3,428.1,253.0,206.0,7.5,0.0,,61.5,689.3,,213.5,1277,missing_months,CHANDEL,
Manipur,Chandel,IMD110-P1277,1977,29.0,70.0,19.0,122.0,247.1,369.0,681.0,557.0,505.0,112.0,4.0,5.9,2721.1,99.0,388.1,2112.0,121.9,1277,,CHANDEL,
Manipur,Chandel,IMD110-P1277,1978,0.0,0.0,78.0,95.2,242.0,323.0,203.4,146.8,101.8,68.0,41.4,0.0,1299.6,0.0,415.2,775.0,109.4,1277,,CHANDEL,
