state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Meghalaya,East Garo Hills,IMD110-P1293,1976,0.0,0.5,20.8,94.5,311.7,696.8,484.2,560.4,122.0,85.2,6.3,0.0,2382.4,0.5,426.9,1863.5,91.5,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1977,0.0,0.0,93.3,722.2,414.1,1067.1,347.8,347.8,349.3,488.6,146.4,12.3,3988.7,0.0,1229.5,2111.9,647.3,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1978,0.0,2.6,55.4,215.0,191.3,539.5,489.0,473.5,334.5,96.6,101.7,0.0,2499.0,2.6,461.8,1836.4,198.3,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1979,,,,,,,1041.6,231.4,367.0,,,,,,,,,1293,missing_months,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1980,0.0,49.4,163.9,235.3,718.8,424.0,640.3,616.5,411.0,122.6,0.0,0.0,3381.7,49.4,1117.9,2091.8,122.6,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1981,33.9,49.9,120.3,207.5,349.3,254.7,372.9,211.9,147.8,1.8,0.0,46.3,1796.3,83.8,677.1,987.3,48.1,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1982,0.0,0.0,41.6,164.2,296.5,615.5,292.7,604.7,411.6,55.2,10.0,0.0,2491.9,0.0,502.3,1924.4,65.2,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1983,9.6,64.0,43.8,164.2,310.7,226.4,199.4,263.1,346.3,133.9,5.4,12.6,1779.4,73.6,518.7,1035.2,151.9,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1984,11.4,2.7,44.8,178.6,379.3,434.5,603.5,145.9,459.0,67.4,0.0,0.0,2327.1,14.1,602.6,1643.0,67.4,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1985,0.0,0.0,8.6,135.9,156.6,418.8,257.8,108.0,219.3,3.8,0.0,32.4,1341.2,0.0,301.1,1003.8,36.2,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,1986,0.0,0.0,0.0,262.8,164.4,393.0,320.4,276.8,415.2,292.2,22.2,0.0,2147.0,0.0,427.2,1405.4,314.4,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2005,6.0,2.0,96.0,405.8,396.9,661.0,925.8,510.0,236.2,375.0,0.0,,,8.0,898.7,2333.0,,1293,missing_months,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2006,0.0,3.0,13.1,201.0,488.7,408.0,321.0,244.0,344.0,60.0,16.0,0.0,2098.8,3.0,702.8,1317.0,76.0,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2007,0.0,25.0,20.0,230.0,187.0,743.0,1347.0,426.0,,221.0,74.0,0.0,,25.0,437.0,,295.0,1293,missing_months,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2008,0.0,11.0,141.0,254.0,286.0,652.0,791.0,618.0,249.0,242.0,0.0,0.0,3244.0,11.0,681.0,2310.0,242.0,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2009,0.0,0.0,43.0,100.4,378.3,534.9,673.8,1131.4,154.3,235.4,0.0,0.0,3251.5,0.0,521.7,2494.4,235.4,1293,,EAST GARO HILLS,
Meghalaya,East Garo Hills,IMD110-P1293,2010,0.0,0.0,102.3,463.5,493.0,756.9,641.6,366.1,,176.9,6.4,7.8,,0.0,1058.8,,191.1,1293,missing_months,EAST GARO HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1901,19.3,5.4,38.8,419.9,387.3,1163.8,938.2,670.9,630.3,582.5,243.9,0.8,5101.0,24.7,846.0,3403.1,827.2,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1902,6.6,0.0,139.1,462.8,409.7,2029.0,1559.0,1305.4,674.8,93.0,1.0,1.7,6682.0,6.6,1011.6,5568.2,95.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1903,0.4,24.3,133.8,179.8,248.1,1324.6,1081.0,1136.8,271.2,203.0,127.4,0.0,4730.4,24.8,561.7,3813.6,330.4,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1904,0.3,86.7,47.6,1030.0,596.1,793.2,935.4,1010.5,317.7,116.4,66.3,4.3,5004.4,87.0,1673.6,3056.7,187.0,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1905,1.7,29.7,109.7,210.0,653.4,1203.2,1236.7,1897.1,881.7,758.3,3.7,13.2,6998.4,31.4,973.0,5218.7,775.2,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1906,10.7,111.8,100.1,485.6,361.7,526.2,2274.3,1721.4,657.8,264.2,67.2,0.0,6580.8,122.4,947.4,5179.6,331.4,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1907,21.1,68.0,168.4,376.6,245.7,1260.9,1629.5,713.9,448.3,81.7,15.4,21.6,5051.2,89.1,790.7,4052.6,118.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1908,13.2,16.0,24.4,213.4,480.4,941.2,947.9,498.0,856.3,140.5,0.6,0.1,4132.1,29.3,718.2,3243.5,141.1,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1909,4.6,12.8,1.9,247.1,556.0,1629.4,582.1,979.5,266.9,380.7,42.4,6.9,4710.3,17.4,805.0,3457.9,430.1,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1910,4.7,44.5,375.5,421.0,381.3,1585.5,2565.1,1083.8,395.8,267.4,49.3,0.0,7173.8,49.2,1177.8,5630.1,316.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1911,61.7,13.2,80.5,545.6,1023.1,1811.6,1380.0,1046.2,729.0,709.2,3.3,0.3,7403.8,74.9,1649.3,4966.8,712.9,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1912,4.2,66.5,261.6,445.4,216.4,1173.7,1225.9,882.4,501.0,573.0,168.1,24.2,5542.4,70.7,923.5,3783.0,765.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1913,2.4,80.2,115.2,355.7,536.6,1191.1,789.0,689.1,540.4,471.8,12.9,26.4,4810.9,82.6,1007.5,3209.6,511.1,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1914,0.5,60.4,84.5,277.0,757.9,1417.1,852.4,1200.4,377.4,74.9,9.6,12.7,5124.8,60.9,1119.4,3847.3,97.2,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1915,14.3,73.8,122.5,170.0,1699.7,994.3,1424.1,1289.1,417.1,253.2,27.3,4.2,6489.6,88.1,1992.2,4124.6,284.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1916,2.4,20.8,201.9,548.2,1091.2,951.5,1032.9,1190.7,546.2,827.0,178.9,0.4,6592.0,23.2,1841.3,3721.3,1006.2,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1917,0.2,77.6,52.1,165.0,577.3,1348.5,1090.1,786.5,389.3,472.9,164.0,0.0,5123.5,77.8,794.4,3614.4,636.9,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1918,0.9,7.7,97.5,172.2,702.4,2238.5,1875.1,1180.3,621.5,121.2,0.0,0.4,7017.6,8.5,972.0,5915.4,121.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1919,19.4,2.8,15.6,233.7,501.6,1145.1,1033.7,522.3,864.5,543.2,70.5,1.1,4953.6,22.2,750.9,3565.7,614.8,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1920,0.6,34.5,242.9,278.6,459.8,992.3,664.3,1419.1,932.2,159.1,8.7,1.4,5193.6,35.1,981.3,4007.9,169.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1921,35.5,8.5,136.0,363.9,1329.8,1461.3,1878.4,1034.2,516.6,142.6,12.5,8.1,6927.4,44.0,1829.7,4890.4,163.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1922,14.1,5.1,199.5,523.5,413.1,1847.1,1035.5,593.3,467.7,544.7,4.5,16.7,5665.0,19.3,1136.2,3943.6,566.0,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1923,0.1,86.2,71.5,400.3,754.2,1569.6,1008.0,494.8,651.1,80.1,3.6,0.0,5119.5,86.3,1226.1,3723.5,83.7,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1924,6.1,11.6,3.9,432.3,354.6,1552.3,2254.5,875.0,919.2,137.3,253.9,1.2,6801.8,17.7,790.8,5601.0,392.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1925,13.8,22.5,82.1,431.2,1035.1,733.5,857.1,769.4,575.7,158.5,10.0,0.0,4688.8,36.3,1548.3,2935.7,168.5,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1926,26.7,13.5,123.6,190.5,319.2,1605.5,1564.0,655.2,556.5,390.3,0.8,136.2,5582.0,40.2,633.4,4381.2,527.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1927,74.5,34.9,27.4,400.1,345.6,1494.7,1107.5,735.1,1323.4,364.8,33.6,0.0,5941.6,109.3,773.1,4660.7,398.4,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1928,10.4,30.3,83.9,144.0,739.9,1066.1,1301.4,728.9,692.9,542.9,15.3,0.0,5356.0,40.7,967.8,3789.4,558.2,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1929,137.4,0.7,130.8,606.8,1036.4,1489.4,948.8,843.2,561.2,254.0,10.0,9.8,6028.4,138.0,1774.0,3842.6,273.8,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1930,16.2,44.6,132.3,272.3,290.6,1672.0,555.3,1313.4,387.0,277.6,267.3,0.1,5228.5,60.8,695.2,3927.6,544.9,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1931,0.5,23.7,29.1,709.9,679.9,2324.3,2431.4,421.7,681.1,129.4,13.3,5.6,7449.9,24.2,1418.8,5858.6,148.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1932,4.8,50.6,32.0,311.2,1460.4,1626.4,962.0,1609.4,494.0,92.7,170.8,5.5,6819.9,55.4,1803.7,4691.7,269.1,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1933,1.0,11.0,16.4,398.5,369.0,1345.5,1093.6,1197.1,379.7,98.6,0.8,4.9,4916.1,12.0,783.9,4015.9,104.3,1294,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1934,19.7,90.5,14.5,517.6,614.4,2711.3,1493.3,739.8,529.1,788.1,19.9,8.9,7547.2,110.2,1146.6,5473.5,816.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1935,2.3,42.7,62.7,129.8,746.4,1740.5,746.1,1873.9,693.4,37.6,8.9,0.0,6084.4,45.0,939.0,5054.0,46.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1936,7.4,37.7,113.3,299.0,1146.0,847.4,1433.9,590.2,761.5,576.2,7.6,14.5,5834.7,45.1,1558.3,3633.0,598.3,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1937,0.0,36.5,7.8,124.0,925.3,1103.1,1199.4,1080.1,304.1,167.9,5.2,1.9,4955.2,36.5,1057.1,3686.8,174.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1938,42.1,6.7,180.9,292.4,630.5,1797.2,1396.0,1279.0,1259.2,112.1,90.0,0.3,7086.4,48.8,1103.8,5731.5,202.3,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1939,1.4,12.8,20.1,147.9,339.7,1525.7,1005.2,474.4,739.2,395.1,0.9,5.0,4667.4,14.2,507.7,3744.5,401.0,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1940,0.0,62.7,179.5,50.0,747.4,1251.5,1367.4,955.1,1354.6,339.7,4.3,0.8,6313.1,62.7,976.8,4928.7,344.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1941,0.3,61.1,98.0,425.4,977.2,1864.2,1378.3,1010.7,1001.8,419.3,22.1,5.7,7264.0,61.3,1500.6,5255.0,447.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1942,11.7,37.1,258.7,243.6,783.4,2118.3,683.7,736.2,940.8,11.9,19.6,0.0,5845.1,48.8,1285.7,4479.0,31.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1943,57.0,31.1,165.8,345.5,902.4,1977.2,1513.5,866.3,996.2,42.4,7.0,0.5,6904.9,88.1,1413.7,5353.2,49.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1944,59.1,13.6,92.4,239.9,1392.0,1040.5,934.1,1219.2,1055.6,139.0,1.0,1.0,6187.3,72.7,1724.3,4249.4,141.0,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1945,46.4,33.5,167.9,222.7,495.0,1623.7,1379.4,1358.8,456.5,362.6,12.8,0.9,6160.0,79.9,885.5,4818.4,376.3,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1946,1.2,27.0,236.6,359.9,702.5,1420.6,1859.7,680.3,524.8,999.5,10.8,0.0,6822.7,28.2,1298.9,4485.3,1010.3,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1947,3.7,0.4,150.4,158.1,1310.0,338.9,660.3,283.4,398.5,279.0,0.3,2.7,3585.6,4.1,1618.4,1681.1,281.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1948,0.0,32.2,24.6,483.3,1605.7,1617.6,2394.1,1588.3,934.4,444.3,74.2,0.0,9198.7,32.2,2113.5,6534.5,518.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1949,12.9,36.9,55.2,678.3,781.4,2451.7,1504.3,1209.1,1192.9,130.4,5.2,2.8,8061.1,49.8,1514.9,6358.0,138.4,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1950,2.9,61.1,128.1,285.2,560.7,2180.6,1032.6,1431.0,199.5,225.4,158.3,0.1,6265.3,64.0,973.9,4843.6,383.8,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1951,2.9,0.0,114.9,212.2,959.5,2154.4,2794.9,1508.3,814.6,814.1,59.5,8.9,9444.2,2.9,1286.6,7272.3,882.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1952,3.2,1.2,138.2,241.0,861.1,1035.7,2165.5,1155.2,976.2,646.0,154.2,0.5,7378.0,4.3,1240.3,5332.6,800.7,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1953,19.1,9.6,456.8,371.1,1021.2,1511.7,1961.4,652.6,1449.3,184.3,8.6,4.2,7649.6,28.7,1849.0,5574.9,197.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1954,12.8,100.0,38.3,370.8,1766.5,3023.0,2780.7,1548.1,788.5,297.2,0.0,23.9,10749.7,112.8,2175.6,8140.3,321.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1955,17.4,22.6,231.7,438.1,912.9,2031.8,2531.9,1378.0,847.6,275.9,175.6,3.3,8866.8,40.0,1582.7,6789.2,454.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1956,18.8,4.5,120.4,375.5,1719.3,4211.7,1448.8,1584.6,387.9,245.7,59.5,9.9,10186.6,23.3,2215.3,7632.9,315.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1957,94.4,31.4,62.1,319.1,1347.5,1822.1,1584.9,1042.8,550.2,93.4,2.5,3.1,6953.4,125.7,1728.7,5000.0,99.0,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1958,18.9,44.2,22.2,459.1,1321.6,835.8,671.1,1849.3,826.6,260.4,10.5,10.8,6330.6,63.1,1802.9,4182.9,281.7,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1959,28.2,9.0,116.9,257.5,875.7,1516.9,547.3,665.4,390.8,382.7,0.8,0.3,4791.5,37.3,1250.0,3120.3,383.8,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1960,0.0,17.4,96.1,97.8,884.3,741.9,1767.0,631.0,1592.3,94.5,31.4,1.0,5954.6,17.4,1078.2,4732.2,126.8,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1961,0.2,19.3,276.3,119.7,777.8,994.2,160.7,447.0,411.6,285.9,27.8,1.8,3522.4,19.5,1173.8,2013.5,315.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1962,36.6,38.8,12.3,254.7,457.5,1291.6,1077.7,1318.3,144.7,136.8,2.4,0.0,4771.3,75.4,724.5,3832.3,139.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1963,0.0,0.4,99.2,222.2,472.4,2124.6,1385.2,203.9,708.2,167.9,33.3,1.9,5419.0,0.4,793.7,4421.8,203.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1964,3.4,21.1,168.6,351.9,482.4,1179.9,1668.7,1078.2,616.8,551.0,19.1,3.4,6144.6,24.5,1002.9,4543.7,573.5,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1965,0.0,75.0,66.9,175.9,609.1,1696.8,1366.0,1486.8,509.8,210.4,75.9,5.6,6278.1,75.0,851.9,5059.3,291.9,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1966,17.9,0.0,24.4,183.3,546.4,4394.7,1522.1,2277.7,376.8,195.9,89.9,13.3,9642.4,17.9,754.0,8571.3,299.1,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1967,21.6,11.0,138.9,276.9,435.9,1007.5,1712.0,637.2,795.6,100.2,17.5,0.1,5154.3,32.5,851.8,4152.2,117.8,1295,,EAST KHASI HILLS,
Meghalaya,East Khasi Hills,IMD110-P1294,1968,14.6,13.0,95.0,385.3,913.9,1898.0,1526.9,748.9,316.5,149.7,2.8,4.2,6068.7,27.5,1394.2,4490.3,156.7,1296,,EAST KHASI HILLS,
