state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Mizoram,Aizwal,IMD110-P1309,1901,12.7,15.1,25.0,254.4,90.2,325.9,350.0,467.4,300.9,95.0,71.4,0.0,2007.9,27.8,369.5,1444.2,166.4,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1902,0.0,0.0,23.9,423.0,200.4,400.8,251.7,170.1,304.4,74.7,10.8,3.7,1863.3,0.0,647.2,1127.0,89.2,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1903,1.5,33.1,171.1,15.5,186.4,384.9,301.0,332.6,454.0,192.5,60.8,0.0,2133.2,34.6,372.9,1472.5,253.3,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1904,0.0,63.0,25.2,316.6,305.4,405.5,281.8,385.2,476.8,147.3,95.8,0.3,2502.7,63.0,647.2,1549.2,243.3,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1905,3.5,34.5,290.2,182.3,147.1,392.0,278.5,184.9,332.1,271.3,0.0,28.7,2144.9,38.0,619.6,1187.5,299.9,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1906,0.0,82.2,42.0,98.2,311.7,326.5,420.4,248.8,349.3,116.9,39.7,0.0,2035.7,82.2,452.0,1345.0,156.6,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1907,13.4,17.9,94.5,197.0,135.9,459.8,284.1,229.6,340.3,100.1,0.4,50.4,1923.3,31.3,427.4,1313.8,150.9,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1908,39.0,32.9,17.9,107.3,219.9,232.5,439.0,421.2,334.0,237.1,59.8,0.0,2140.4,71.9,345.0,1426.8,296.8,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1909,4.5,2.4,0.0,242.8,286.9,338.3,295.5,398.6,188.9,62.7,57.5,69.6,1947.7,6.9,529.7,1221.3,189.8,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1910,14.5,0.0,25.2,116.8,203.8,308.9,206.9,315.6,253.4,170.1,9.4,0.0,1624.6,14.5,345.8,1084.8,179.5,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1911,24.4,0.0,90.6,162.8,328.1,378.5,357.0,297.2,368.5,286.5,11.2,0.0,2304.8,24.4,581.4,1401.3,297.7,1309,,AIZWAL,
Mizoram,Aizwal,IMD110-P1309,1912,0.0,23.7,183.1,313.2,175.4,199.8,265.0,323.5,223.4,163.4,30.7,0.0,1901.2,23.7,671.7,1011.7,194.1,1309,,AIZWAL,
