state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Nagaland,Dimapur,IMD110-P1326,1901,18.3,2.1,60.0,185.7,86.8,118.1,276.3,553.3,294.8,179.7,38.0,0.0,1813.1,20.4,332.5,1242.5,217.7,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1902,0.0,0.5,98.9,174.6,152.4,263.7,378.1,346.7,220.5,73.1,10.4,3.6,1722.5,0.5,425.9,1209.0,87.1,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1903,2.5,21.3,93.1,57.8,190.5,228.0,74.7,333.2,258.3,171.3,100.0,0.0,1530.7,23.8,341.4,894.2,271.3,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1904,2.0,62.8,28.7,107.1,128.6,377.5,328.2,307.7,122.9,98.6,105.8,29.0,1698.9,64.8,264.4,1136.3,233.4,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1905,6.0,14.2,90.1,169.0,265.6,121.1,421.8,210.6,265.7,421.6,20.8,65.8,2072.3,20.2,524.7,1019.2,508.2,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1906,0.0,96.5,113.5,41.8,120.3,142.2,57.1,117.9,264.4,76.9,45.9,0.0,1076.5,96.5,275.6,581.6,122.8,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1907,88.4,71.3,98.8,227.7,56.0,121.9,203.7,144.7,193.7,12.4,9.9,16.3,1244.8,159.7,382.5,664.0,38.6,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1908,8.2,12.2,3.1,72.5,69.8,179.3,215.4,190.1,160.6,189.8,0.5,0.0,1101.5,20.4,145.4,745.4,190.3,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1909,9.4,8.1,17.0,76.8,141.6,332.3,452.4,257.6,87.9,54.9,17.7,3.8,1459.5,17.5,235.4,1130.2,76.4,1326,,DIMAPUR,
Nagaland,Dimapur,IMD110-P1326,1910,17.0,18.1,90.9,145.7,260.3,179.0,336.8,227.2,137.8,73.2,15.5,0.0,1501.5,35.1,496.9,880.8,88.7,1326,,DIMAPUR,
