state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Punjab,Amritsar,IMD110-P1451,1901,43.2,32.0,13.4,3.5,33.7,4.3,220.8,146.6,28.5,0.0,0.0,0.0,526.1,75.2,50.6,400.3,0.0,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1902,0.0,0.0,12.9,6.3,20.0,24.6,83.4,98.4,31.7,4.4,0.0,0.0,281.7,0.0,39.2,238.1,4.4,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1903,21.3,0.0,72.6,0.6,11.0,9.7,224.0,112.5,183.6,15.9,0.0,2.9,654.0,21.3,84.2,529.8,18.8,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1904,43.8,3.8,104.2,0.5,4.2,16.8,16.9,80.0,45.0,9.5,1.2,14.5,340.4,47.6,108.9,158.7,25.2,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1905,63.3,25.1,15.1,0.0,0.4,10.2,99.1,22.7,163.1,3.3,0.0,11.3,413.6,88.4,15.5,295.0,14.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1906,0.7,87.2,48.9,5.9,7.9,28.1,77.3,120.2,175.8,0.0,0.0,19.9,572.0,87.9,62.7,401.5,19.9,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1907,13.7,80.9,43.7,45.3,2.7,25.6,25.9,164.3,5.3,0.0,0.1,0.0,407.3,94.6,91.6,221.0,0.1,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1908,51.6,8.4,0.1,28.0,4.7,11.9,229.6,486.4,74.3,0.0,0.2,1.3,896.5,60.0,32.8,802.2,1.5,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1909,23.9,40.5,0.0,47.2,0.1,53.5,136.6,171.5,213.1,0.0,0.0,42.2,728.6,64.4,47.3,574.7,42.2,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1910,21.2,4.4,1.9,2.2,0.1,72.3,111.0,193.9,24.3,0.4,0.0,1.0,432.7,25.6,4.2,401.5,1.4,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1911,109.8,7.0,141.1,0.6,3.4,42.8,16.5,107.5,13.0,8.8,9.7,0.0,460.3,116.8,145.1,179.8,18.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1912,87.5,1.1,16.8,24.1,6.5,6.5,167.4,223.3,0.0,0.0,27.0,2.5,562.6,88.5,47.4,397.2,29.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1913,0.3,44.3,40.4,0.6,48.4,100.9,158.1,197.4,28.7,2.6,0.1,11.8,633.6,44.6,89.4,485.1,14.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1914,34.5,43.7,19.5,52.7,14.3,52.3,316.5,68.6,96.4,55.2,16.6,11.4,781.8,78.2,86.5,533.9,83.2,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1915,17.9,69.5,53.3,18.8,6.3,12.2,39.3,51.9,115.7,28.2,0.0,5.9,419.0,87.4,78.4,219.1,34.1,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1916,2.7,15.1,2.6,4.0,8.1,40.6,362.9,206.8,70.5,3.6,0.0,0.0,716.7,17.7,14.7,680.8,3.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1917,3.0,0.0,11.1,70.3,17.4,84.6,114.9,241.0,293.9,131.6,0.0,4.8,972.8,3.0,98.9,734.5,136.4,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1918,1.5,1.0,72.4,33.0,0.6,43.0,19.6,95.0,19.9,0.4,5.3,10.2,301.9,2.5,106.0,177.5,15.9,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1919,72.6,19.2,11.7,5.4,15.2,9.0,184.6,134.8,28.2,0.0,4.5,41.8,526.9,91.7,32.3,356.6,46.3,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1920,29.2,18.4,11.3,1.2,30.5,10.9,152.7,127.4,23.2,0.0,0.0,1.0,405.8,47.6,43.0,314.2,1.0,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1921,6.5,7.3,0.0,0.0,1.1,23.4,91.0,93.5,41.0,27.4,0.0,15.7,306.8,13.8,1.1,248.8,43.1,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1922,15.0,12.4,4.9,1.9,2.2,32.4,56.9,100.6,177.1,0.0,0.0,26.5,429.9,27.5,8.9,367.0,26.5,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1923,45.9,66.3,15.3,9.6,60.0,8.5,202.7,146.8,0.0,12.0,0.0,50.1,617.1,112.1,84.9,358.0,62.1,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1924,37.9,32.6,4.8,4.5,28.0,4.8,226.3,127.1,123.5,0.0,0.8,44.9,635.3,70.5,37.3,481.7,45.8,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1925,28.9,3.4,2.7,1.1,36.3,50.8,253.6,143.6,12.4,4.0,9.6,0.0,546.3,32.3,40.0,460.4,13.5,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1926,15.4,2.3,79.8,37.7,34.5,4.3,146.9,314.4,73.1,0.0,0.0,7.6,715.9,17.7,152.0,538.7,7.6,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1927,0.0,23.5,8.4,7.6,13.8,18.5,187.1,42.9,0.0,0.2,0.0,31.5,333.5,23.5,29.8,248.6,31.7,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1928,9.3,9.9,10.7,12.6,4.3,44.9,83.2,158.8,64.0,0.0,54.8,23.2,475.5,19.2,27.6,350.8,78.0,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1929,0.0,1.7,0.0,11.4,0.0,105.6,164.1,152.4,9.0,2.8,0.0,80.3,527.3,1.7,11.4,431.1,83.1,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1930,14.8,21.1,4.0,11.6,17.1,43.9,299.9,70.5,59.8,0.0,0.0,2.9,545.5,35.9,32.7,474.1,2.9,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1931,16.8,23.8,12.0,0.0,25.7,4.6,204.8,203.9,80.3,42.8,0.0,0.0,614.7,40.7,37.8,493.5,42.8,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1932,33.4,7.9,24.6,1.3,9.2,5.7,154.1,70.8,19.1,0.0,0.0,28.3,354.2,41.3,35.0,249.7,28.3,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1933,9.2,24.7,51.9,10.0,13.4,22.4,286.5,353.1,98.8,8.3,5.6,0.0,883.8,33.9,75.3,760.8,13.8,1451,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1934,14.1,1.2,43.3,2.6,0.9,67.7,114.3,127.6,11.5,0.0,0.0,2.1,385.4,15.3,46.9,321.1,2.1,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1935,97.6,74.3,26.7,69.2,2.7,1.4,200.8,91.1,30.1,0.8,4.3,2.7,601.6,171.9,98.7,323.3,7.7,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1936,1.3,51.0,25.6,14.6,4.7,72.7,181.3,161.6,54.6,8.7,0.0,18.6,594.7,52.3,44.9,470.2,27.3,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1937,2.5,118.6,5.5,62.5,1.4,17.7,171.6,14.2,41.0,11.7,0.0,24.3,470.8,121.0,69.3,244.5,36.0,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1938,63.9,31.7,2.7,15.4,1.3,149.4,122.0,90.3,1.0,6.0,0.0,0.6,484.4,95.6,19.4,362.8,6.6,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1939,10.2,97.2,72.8,14.3,0.5,37.0,75.4,70.4,64.7,1.8,0.0,0.0,444.4,107.4,87.7,247.5,1.8,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1940,52.9,33.6,14.8,5.2,4.0,67.7,116.8,158.7,32.5,0.0,0.0,0.0,486.4,86.6,24.1,375.8,0.0,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1941,63.8,9.0,12.5,1.7,15.0,95.3,115.4,193.9,50.6,0.3,0.0,18.3,575.7,72.8,29.2,455.2,18.6,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1942,49.9,42.0,28.8,39.7,11.8,26.3,184.9,226.7,75.5,5.3,0.0,41.2,732.3,91.9,80.3,513.5,46.5,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1943,57.9,5.0,12.9,7.1,11.5,23.0,157.6,67.4,42.2,3.7,0.0,0.0,388.4,62.9,31.6,290.3,3.7,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1944,29.0,60.0,58.0,50.3,0.0,22.7,159.5,154.0,30.3,1.5,0.0,20.1,585.3,89.0,108.3,366.5,21.6,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1945,77.7,0.0,20.8,32.3,4.3,13.3,174.0,121.2,137.3,6.4,2.9,0.1,590.3,77.7,57.4,445.7,9.4,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1946,0.6,12.0,10.4,6.1,18.8,63.3,120.9,146.0,0.0,45.6,11.9,41.3,477.0,12.5,35.4,330.2,98.8,1452,,AMRITSAR,
Punjab,Amritsar,IMD110-P1451,1947,28.9,9.4,0.3,0.0,3.4,0.0,23.5,309.3,140.3,4.5,0.0,47.0,566.6,38.3,3.6,473.1,51.6,1452,,AMRITSAR,
