state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Rajasthan,Ajmer,IMD110-P1522,1901,23.7,1.1,4.7,0.0,2.9,27.4,163.9,129.1,3.5,13.4,0.0,0.7,370.5,24.7,7.7,323.9,14.1,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1902,0.1,0.1,0.0,1.2,9.4,29.8,133.2,104.1,137.7,2.0,0.0,0.0,417.6,0.2,10.6,404.8,2.0,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1903,1.4,2.3,3.6,0.6,7.7,14.5,267.9,188.9,111.9,1.1,0.0,0.0,600.0,3.7,11.9,583.3,1.1,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1904,4.1,6.0,26.4,0.0,25.6,52.4,175.9,162.5,26.6,0.0,0.7,12.1,492.3,10.0,52.0,417.4,12.8,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1905,1.5,10.8,1.4,1.1,2.4,6.2,65.7,7.8,96.0,0.0,0.0,0.0,192.9,12.3,4.9,175.8,0.0,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1906,0.0,17.6,1.3,0.0,0.0,43.3,307.6,57.8,139.9,0.6,0.0,4.3,572.4,17.6,1.3,548.6,5.0,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1907,0.7,55.8,3.6,3.0,10.4,5.0,98.0,448.7,0.1,0.0,0.0,0.0,625.3,56.5,17.0,551.8,0.0,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1908,7.7,1.2,0.4,0.0,2.0,47.1,340.6,319.5,202.2,0.0,0.1,0.1,921.0,9.0,2.4,909.5,0.1,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1909,5.2,0.7,0.0,45.6,1.3,84.8,352.9,155.1,138.4,0.0,0.0,18.9,803.0,5.9,46.9,731.3,18.9,1522,,AJMER,
Rajasthan,Ajmer,IMD110-P1522,1910,1.9,0.0,0.0,0.3,0.0,82.2,83.9,194.6,36.3,18.3,0.0,0.0,417.6,1.9,0.3,397.1,18.3,1522,,AJMER,
