state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Sikkim,East Sikkim,IMD110-P2077,1971,52.1,44.5,106.6,240.2,326.9,912.6,663.5,625.1,337.6,380.1,14.2,5.1,3708.4,96.6,673.6,2538.9,399.4,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1972,26.4,66.3,135.0,364.8,617.8,575.5,663.0,573.1,453.8,84.6,34.8,0.6,3595.6,92.6,1117.5,2265.4,120.0,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1973,24.4,88.9,59.6,163.7,468.9,725.2,499.7,490.2,362.2,352.5,8.8,0.2,3244.4,113.3,692.2,2077.3,361.5,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1974,30.6,15.6,102.0,382.1,362.5,327.1,741.7,599.4,506.4,181.9,2.0,27.0,3278.3,46.2,846.7,2174.5,210.9,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1975,30.6,91.0,30.1,142.0,439.5,606.0,859.8,315.5,542.2,285.0,1.9,24.0,3367.6,121.6,611.6,2323.5,310.9,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1976,7.7,42.6,18.0,74.4,307.3,429.5,438.1,569.5,311.8,102.8,28.0,3.1,2332.6,50.3,399.7,1748.9,133.8,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1977,14.8,18.1,45.1,268.6,313.3,507.3,551.4,520.5,295.0,126.0,111.9,56.0,2828.0,32.9,627.0,1874.2,293.9,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1978,55.0,19.6,45.6,101.3,316.1,699.7,434.3,319.1,350.2,27.8,73.5,12.5,2454.7,74.6,462.9,1803.4,113.8,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1979,8.2,50.0,6.1,143.1,,364.9,698.0,503.3,348.6,195.4,21.6,64.2,,58.2,,1914.8,281.2,2077,missing_months,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1980,43.4,117.0,160.0,340.7,382.6,607.8,687.6,559.8,523.8,85.7,1.4,5.5,3515.2,160.3,883.3,2379.0,92.6,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1981,37.9,3.8,74.8,210.1,373.7,442.9,598.9,545.5,369.6,21.6,9.5,10.0,2698.1,41.7,658.6,1956.9,41.0,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1984,35.1,8.8,60.6,407.6,657.0,430.0,567.1,524.5,392.1,191.6,4.9,11.3,3290.6,43.9,1125.2,1913.7,207.8,2077,,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1987,0.6,45.2,64.6,121.6,199.9,,,467.6,435.6,139.4,,5.0,,45.8,386.1,,,2077,missing_months,EAST SIKKIM,
Sikkim,East Sikkim,IMD110-P2077,1988,0.0,15.0,62.2,71.8,214.2,228.0,362.6,510.8,149.1,28.4,2.4,7.2,1651.7,15.0,348.2,1250.5,38.0,2077,,EAST SIKKIM,
