state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Tamil Nadu,Ariyalur,IMD110-P1635,1901,13.2,19.0,6.8,17.0,103.4,39.1,79.1,133.8,358.2,55.7,244.8,57.0,1127.1,32.3,127.3,610.2,357.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1902,58.6,101.6,1.3,0.0,95.3,20.1,15.1,186.8,198.7,192.7,190.1,206.1,1266.4,160.2,96.6,420.7,589.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1903,9.5,1.6,0.0,15.8,134.9,73.9,56.4,87.7,201.1,82.9,153.6,265.8,1083.3,11.1,150.6,419.1,502.4,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1904,46.0,0.0,0.0,27.3,80.5,2.0,59.0,51.1,238.2,161.1,20.8,84.6,770.7,46.0,107.8,350.4,266.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1905,10.6,0.6,0.0,88.1,57.0,35.8,56.7,144.6,162.5,292.8,162.8,11.0,1022.5,11.2,145.1,399.6,466.6,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1906,114.1,24.8,3.2,0.0,78.4,33.4,82.2,155.4,26.3,173.6,355.3,173.6,1220.1,138.8,81.6,297.3,702.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1907,0.0,1.9,4.4,42.3,39.6,5.9,73.4,53.8,152.0,196.8,338.8,39.3,948.4,1.9,86.3,285.2,575.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1908,8.4,32.3,2.8,0.9,49.3,24.6,15.7,86.8,290.9,351.9,28.4,48.1,940.0,40.7,53.0,417.9,428.4,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1909,170.9,15.3,0.0,43.0,149.8,3.7,14.2,273.7,143.5,55.3,63.8,24.5,957.5,186.1,192.8,435.0,143.6,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1910,6.3,25.5,0.0,14.6,48.8,48.4,118.6,177.1,50.1,140.0,152.9,0.0,782.0,31.8,63.4,394.1,292.8,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1911,9.4,2.3,0.0,21.0,55.9,125.6,44.7,50.8,205.0,156.2,220.5,109.7,1001.1,11.6,76.9,426.1,486.4,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1912,3.8,0.0,0.0,0.0,49.8,16.9,17.6,59.9,86.4,183.5,313.4,36.2,767.5,3.8,49.8,180.9,533.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1913,0.0,0.0,0.0,12.8,76.3,12.9,100.2,85.1,195.3,316.7,644.0,295.2,1738.5,0.0,89.2,393.4,1255.9,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1914,1.5,0.0,0.0,11.6,57.8,25.3,6.2,129.0,150.0,277.6,139.8,176.3,975.1,1.5,69.4,310.5,593.7,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1915,19.2,60.1,13.7,29.6,57.4,10.1,97.0,178.5,124.1,62.3,161.5,102.7,916.2,79.3,100.7,409.8,326.4,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1916,0.0,0.0,0.0,48.3,50.1,22.2,220.5,127.1,62.3,160.1,157.3,33.9,881.8,0.0,98.3,432.2,351.3,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1917,58.8,1.9,0.0,0.0,82.7,117.9,60.5,217.6,158.1,116.0,186.1,18.5,1018.0,60.7,82.7,554.0,320.6,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1918,44.4,4.1,7.1,0.0,34.4,27.3,79.8,93.4,47.9,47.5,341.1,169.2,896.3,48.5,41.5,248.4,557.8,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1919,2.7,0.0,6.2,8.5,41.8,16.3,83.8,50.5,113.6,119.3,492.1,244.8,1179.5,2.7,56.5,264.2,856.2,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1920,188.8,0.0,0.0,54.2,103.4,18.1,24.4,147.2,133.4,149.5,670.3,1.3,1490.5,188.8,157.5,323.1,821.1,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1921,167.4,0.0,0.0,68.3,52.6,44.6,63.3,106.8,118.1,240.6,30.1,99.7,991.3,167.4,120.8,332.6,370.4,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1922,59.3,36.7,6.4,43.1,38.3,72.7,43.2,154.8,225.9,241.1,286.5,72.5,1280.5,96.1,87.8,496.6,600.1,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1923,436.7,0.0,55.0,25.3,17.5,90.4,3.3,9.1,108.0,367.0,18.3,174.7,1305.3,436.7,97.8,210.9,560.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1924,79.8,0.0,53.2,20.9,73.8,51.3,76.6,176.3,181.8,87.5,208.6,34.3,1044.1,79.8,147.9,485.9,330.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1925,22.1,0.0,40.3,23.1,127.7,115.6,15.0,179.7,63.0,151.3,216.9,194.8,1149.5,22.1,191.1,373.4,563.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1926,126.4,4.3,1.4,6.4,42.2,22.8,76.1,85.0,200.1,181.9,231.5,39.2,1017.3,130.7,50.0,384.0,452.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1927,6.6,15.1,0.0,33.9,72.6,33.3,48.4,44.8,81.7,40.2,120.9,45.3,542.7,21.7,106.5,208.2,206.3,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1928,35.8,23.6,11.4,5.6,68.4,14.6,79.6,155.6,39.4,270.6,267.3,213.9,1185.8,59.4,85.5,289.2,751.7,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1929,37.1,4.8,5.3,75.1,52.2,16.8,48.0,196.9,199.5,254.6,272.2,105.6,1268.0,41.8,132.6,461.1,632.5,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1930,111.2,41.7,6.3,3.9,167.1,91.8,19.2,77.7,82.9,487.5,114.4,12.8,1216.6,152.8,177.4,271.7,614.7,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1931,16.5,0.0,0.0,113.9,54.0,51.2,65.4,268.3,158.7,55.9,207.5,799.3,1790.8,16.5,167.9,543.6,1062.8,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1932,10.7,0.0,33.3,83.4,120.0,56.7,56.8,205.0,68.1,244.2,367.3,211.6,1457.0,10.7,236.7,386.6,823.0,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1933,0.5,4.6,63.5,15.4,60.6,1.6,47.0,284.8,54.5,174.8,145.9,424.1,1277.2,5.1,139.4,387.9,744.8,1635,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1934,111.8,0.0,1.4,13.5,14.1,30.9,47.5,70.7,61.2,354.9,84.9,19.7,810.6,111.8,29.0,210.3,459.5,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1935,50.6,0.0,1.0,26.4,13.9,56.0,23.6,144.4,66.1,137.9,158.9,261.8,940.5,50.6,41.4,290.1,558.5,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1936,4.0,92.5,43.9,96.0,32.3,14.1,58.8,100.6,53.2,61.7,315.5,112.1,984.7,96.5,172.2,226.8,489.2,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1937,13.1,0.0,52.7,55.7,24.3,52.8,26.4,195.2,174.6,249.4,574.3,7.9,1426.3,13.1,132.7,449.0,831.6,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1938,0.0,39.9,79.1,1.6,42.3,41.2,84.4,215.5,145.1,220.4,37.3,110.4,1017.3,39.9,123.0,486.2,368.1,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1939,33.8,0.0,3.7,410.5,70.2,82.8,14.3,106.6,84.2,209.8,444.9,25.1,1485.8,33.8,484.4,287.9,679.8,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1940,0.0,0.0,5.8,39.8,90.3,70.4,0.4,95.2,140.4,196.4,467.7,69.4,1175.6,0.0,135.8,306.3,733.5,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1941,8.8,3.2,0.0,85.1,42.2,20.2,96.6,164.1,266.3,198.4,201.0,177.7,1263.4,11.9,127.3,547.2,577.1,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1942,1.5,0.0,0.0,0.0,0.0,7.8,9.2,36.8,146.3,34.1,74.5,130.3,440.4,1.5,0.0,200.1,238.8,1636,,ARIYALUR,
Tamil Nadu,Ariyalur,IMD110-P1635,1943,51.0,0.0,0.0,72.8,308.2,33.3,17.5,156.5,204.9,451.5,125.6,60.1,1481.3,51.0,381.0,412.3,637.2,1636,,ARIYALUR,
