state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Telangana,Adilabad,IMD110-P2328,1901,2.5,49.8,14.3,27.1,16.8,123.7,342.2,294.0,151.4,22.1,0.0,0.0,1043.9,52.3,58.2,911.3,22.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1902,0.0,0.0,0.0,1.3,0.0,31.8,248.5,142.0,186.9,10.7,21.4,8.4,651.0,0.0,1.3,609.2,40.5,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1903,0.0,12.7,0.0,0.0,12.9,136.9,478.9,156.1,144.5,117.6,0.0,0.0,1059.6,12.7,12.9,916.4,117.6,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1904,0.0,0.0,15.8,0.0,0.0,45.5,87.6,63.5,190.7,57.6,0.0,0.0,460.7,0.0,15.8,387.3,57.6,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1905,0.0,0.0,17.5,5.8,17.8,79.7,119.8,337.1,308.1,7.1,0.0,0.0,892.9,0.0,41.1,844.7,7.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1906,0.0,3.3,11.2,0.0,0.0,192.2,276.5,207.9,98.7,0.0,27.5,0.0,817.3,3.3,11.2,775.3,27.5,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1907,0.0,0.0,0.0,0.0,0.0,207.9,241.7,364.2,81.8,0.0,5.8,0.0,901.4,0.0,0.0,895.6,5.8,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1908,0.8,0.8,14.2,0.0,12.7,88.6,329.5,106.7,301.3,0.3,0.0,1.8,856.7,1.6,26.9,826.1,2.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1909,0.0,15.7,1.5,3.8,2.3,141.3,311.4,190.9,124.7,11.9,0.0,0.5,804.0,15.7,7.6,768.3,12.4,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1910,0.0,0.0,0.0,0.0,42.3,274.9,238.8,98.5,359.6,61.5,53.9,0.0,1129.5,0.0,42.3,971.8,115.4,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1911,0.0,0.0,20.3,0.0,0.0,197.0,72.3,237.3,316.3,14.7,0.0,0.0,857.9,0.0,20.3,822.9,14.7,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1912,0.0,0.0,0.0,21.4,8.4,28.5,344.7,225.5,179.9,7.1,14.5,0.0,830.0,0.0,29.8,778.6,21.6,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1913,0.0,28.4,0.0,17.8,10.2,99.8,393.9,120.1,122.0,38.4,0.0,26.7,857.3,28.4,28.0,735.8,65.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1914,0.0,0.0,0.0,16.5,30.0,159.2,140.4,157.4,232.4,44.5,7.6,3.6,791.6,0.0,46.5,689.4,55.7,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1915,21.6,0.5,82.7,17.2,16.1,198.9,127.0,168.0,200.8,56.4,41.7,0.0,930.9,22.1,116.0,694.7,98.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1916,0.0,9.4,0.0,5.1,4.4,204.5,177.5,173.2,253.0,57.4,58.7,0.0,943.2,9.4,9.5,808.2,116.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1917,0.0,106.7,30.1,40.9,23.4,192.9,357.8,146.8,223.1,121.2,0.0,0.0,1242.9,106.7,94.4,920.6,121.2,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1918,24.4,0.0,12.7,4.8,0.0,123.8,106.7,104.5,73.5,4.3,4.1,64.8,523.6,24.4,17.5,408.5,73.2,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1919,0.0,101.7,51.9,23.4,15.2,179.8,146.3,126.1,106.5,201.6,19.3,2.3,974.1,101.7,90.5,558.7,223.2,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1920,0.0,0.0,0.0,28.5,35.8,59.9,140.5,88.1,118.9,0.0,0.0,0.0,471.7,0.0,64.3,407.4,0.0,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1921,9.1,0.0,0.3,11.7,2.8,305.6,383.6,228.2,192.7,57.9,5.1,0.0,1197.0,9.1,14.8,1110.1,63.0,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1922,9.2,0.0,0.0,6.3,84.5,,,,,,,,,9.2,90.8,,,2328,missing_months,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1926,71.7,,,,21.2,,292.2,262.1,40.1,56.6,0.0,0.0,,,,,56.6,2328,missing_months,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1927,0.0,10.6,0.0,5.3,28.0,350.2,325.8,154.7,68.5,50.8,67.3,0.0,1061.2,10.6,33.3,899.2,118.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1928,0.0,19.1,2.5,5.1,25.4,116.8,280.8,285.0,194.7,82.1,0.0,0.0,1011.5,19.1,33.0,877.3,82.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1929,0.0,90.3,0.0,18.3,0.0,120.9,172.7,165.6,317.4,7.6,0.0,0.0,892.8,90.3,18.3,776.6,7.6,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1930,0.0,13.0,0.0,10.3,0.8,156.1,174.9,162.9,209.7,69.7,76.6,0.0,873.8,13.0,11.1,703.5,146.3,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1931,0.5,13.9,4.0,22.4,0.6,166.8,385.0,148.9,303.3,116.8,24.4,4.4,1191.1,14.4,27.0,1003.9,145.7,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1932,0.0,37.6,3.6,17.4,30.0,146.1,400.2,254.2,169.3,17.2,24.4,0.0,1100.0,37.6,51.0,969.8,41.5,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1933,28.1,27.9,7.6,20.2,69.5,373.3,248.3,269.4,316.8,106.6,10.2,32.4,1510.3,56.1,97.3,1207.8,149.1,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1934,0.0,0.0,0.0,22.1,0.8,168.2,316.3,293.1,166.7,18.2,32.5,0.0,1018.0,0.0,23.0,944.3,50.7,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1935,9.6,7.6,0.4,23.0,0.4,150.6,379.4,162.3,159.0,25.0,7.1,1.4,925.8,17.2,23.7,851.3,33.6,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1936,2.9,44.5,29.7,2.6,36.7,284.4,296.0,280.2,141.1,89.9,49.0,19.9,1276.9,47.4,69.0,1001.7,158.8,2328,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1937,0.0,16.2,31.9,84.4,1.9,76.4,444.2,94.5,187.1,98.2,0.6,6.8,1042.3,16.2,118.2,802.3,105.6,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1938,0.0,52.9,4.0,11.3,17.8,285.7,483.8,237.9,210.5,112.9,0.0,0.0,1416.9,52.9,33.1,1217.9,112.9,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1939,0.0,0.0,35.1,12.5,0.0,106.0,171.0,234.5,86.7,184.1,6.9,0.0,836.7,0.0,47.6,598.1,191.0,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1940,0.0,1.0,0.9,15.9,10.8,174.5,431.2,282.2,102.3,56.4,27.0,5.5,1107.8,1.0,27.7,990.2,88.9,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1941,3.5,0.0,9.5,10.2,15.8,102.9,118.6,215.4,134.3,31.6,0.0,0.0,641.8,3.5,35.4,571.3,31.6,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1942,0.0,45.6,0.5,9.6,2.9,172.9,291.7,288.8,111.8,8.4,0.0,2.2,934.4,45.6,13.0,865.1,10.7,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1943,39.3,1.3,0.2,20.1,14.8,178.1,181.2,161.7,235.8,51.7,0.0,0.0,884.2,40.5,35.1,756.8,51.7,2329,,ADILABAD,
Telangana,Adilabad,IMD110-P2328,1944,0.0,20.7,83.5,1.8,3.4,141.8,311.1,147.6,244.3,68.4,20.5,0.0,1043.0,20.7,88.7,844.8,88.9,2329,,ADILABAD,
