state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Tripura,Dhalai,IMD110-P1763,1956,3.6,0.0,121.4,123.3,475.3,638.3,540.9,376.6,238.1,112.9,105.3,2.5,2738.2,3.6,719.9,1793.9,220.7,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1957,43.3,55.9,1.8,82.2,284.4,326.6,256.9,214.7,234.7,55.2,1.1,2.9,1559.8,99.3,368.4,1032.9,59.2,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1958,2.9,93.8,12.0,94.8,541.7,272.4,226.0,156.5,315.1,312.9,4.2,2.3,2034.5,96.7,648.5,970.0,319.4,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1959,39.6,64.5,207.2,132.7,271.7,427.6,460.0,316.6,156.7,301.3,0.0,0.0,2377.9,104.1,611.6,1360.9,301.3,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1960,0.0,19.0,20.6,54.7,222.2,427.4,377.7,246.4,291.8,163.9,53.7,0.0,1877.4,19.0,297.5,1343.2,217.6,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1961,0.0,8.8,229.6,135.6,259.5,579.8,440.0,194.1,186.6,112.0,28.9,0.0,2175.1,8.8,624.8,1400.6,140.9,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1962,24.6,30.2,9.4,184.5,190.9,720.7,442.2,362.9,107.2,178.6,0.0,0.0,2251.2,54.8,384.8,1633.0,178.6,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1963,0.0,28.2,91.8,161.3,348.3,582.2,334.6,287.6,199.1,503.2,4.6,1.6,2542.4,28.2,601.3,1403.5,509.5,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1964,7.6,56.7,64.7,417.6,369.8,343.3,523.8,159.5,184.9,362.0,90.0,0.0,2579.9,64.3,852.1,1211.5,452.0,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1965,0.0,40.9,72.3,41.3,149.3,625.3,357.3,389.0,151.0,66.7,41.3,24.1,1958.3,40.9,262.8,1522.5,132.1,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1966,17.0,0.0,65.9,198.0,321.5,508.5,478.3,425.3,302.0,204.9,83.4,84.5,2689.3,17.0,585.4,1714.1,372.8,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1967,38.2,2.8,227.3,325.2,196.5,306.0,495.6,302.2,368.6,149.8,0.0,0.0,2412.3,41.0,749.0,1472.5,149.8,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1968,4.5,20.0,67.4,289.0,335.8,502.1,439.0,319.8,196.8,91.0,16.3,0.0,2281.6,24.5,692.2,1457.6,107.3,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1969,25.5,0.0,112.2,324.3,152.7,656.5,383.8,718.4,247.5,156.3,114.1,0.0,2891.3,25.5,589.2,2006.2,270.4,1763,,DHALAI,
Tripura,Dhalai,IMD110-P1763,1970,20.6,76.3,99.2,35.7,230.8,422.1,629.5,367.7,204.4,253.2,30.8,0.0,2370.2,96.9,365.7,1623.6,284.0,1763,,DHALAI,
