state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Union Terr.,Chandigarh,IMD110-P2315,1954,,137.3,4.5,0.0,5.9,7.4,199.5,148.0,316.9,45.4,0.0,0.0,,,10.4,671.8,45.4,2315,missing_months,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1955,84.8,5.4,25.7,23.4,28.5,111.3,278.8,310.0,314.3,231.8,0.0,6.4,1420.4,90.2,77.6,1014.4,238.2,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1956,23.6,3.3,55.9,5.6,1.3,42.9,311.1,302.9,20.8,127.4,0.0,4.3,899.1,26.9,62.8,677.7,131.7,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1957,149.3,1.0,20.6,29.5,17.9,74.1,214.3,122.9,327.4,47.3,13.5,52.3,1070.1,150.3,68.0,738.7,113.1,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1958,9.3,1.8,14.9,4.9,13.0,61.0,272.5,249.3,347.8,44.8,0.0,24.6,1043.9,11.1,32.8,930.6,69.4,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1959,47.2,29.6,11.2,9.4,24.9,80.0,253.2,398.3,257.2,74.8,24.4,0.0,1210.2,76.8,45.5,988.7,99.2,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1960,25.7,0.0,50.7,0.2,0.2,55.3,405.8,312.3,1.2,1.5,0.0,41.3,894.2,25.7,51.1,774.6,42.8,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1961,90.4,136.5,0.0,16.1,4.2,82.8,327.1,296.2,49.4,66.5,28.6,22.4,1120.2,226.9,20.3,755.5,117.5,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1962,53.8,136.5,59.6,3.4,2.2,91.4,138.7,95.4,719.3,0.0,13.0,17.7,1331.0,190.3,65.2,1044.8,30.7,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1963,0.3,4.7,85.1,3.9,16.4,69.9,213.1,329.1,105.6,0.0,18.5,26.6,873.2,5.0,105.4,717.7,45.1,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1964,25.2,11.6,0.0,5.5,37.6,24.2,475.9,199.6,248.1,0.0,0.0,18.9,1046.6,36.8,43.1,947.8,18.9,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1965,22.9,69.4,76.8,34.3,28.0,1.2,234.8,68.6,35.1,22.0,6.4,1.9,601.4,92.3,139.2,339.7,30.2,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1966,2.8,54.7,29.3,0.3,16.5,116.6,237.6,392.7,33.1,18.3,0.0,3.0,905.0,57.5,46.2,780.0,21.3,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1967,0.0,29.6,71.0,5.0,4.3,60.8,399.1,554.3,131.8,28.3,0.8,58.3,1343.1,29.6,80.3,1145.9,87.4,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1968,52.5,28.8,53.3,4.3,0.6,137.9,295.7,190.3,1.8,23.4,0.0,71.6,860.0,81.3,58.2,625.6,95.0,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1969,12.9,19.2,33.2,18.1,28.2,18.5,244.1,388.8,304.8,0.0,2.4,0.0,1070.2,32.1,79.5,956.2,2.4,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1970,90.8,8.7,5.6,0.0,79.7,190.9,106.1,225.9,357.3,13.3,0.0,0.0,1078.2,99.5,85.3,880.1,13.3,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1971,66.3,54.2,0.1,26.6,146.5,123.9,176.9,721.0,141.2,0.4,17.1,0.0,1474.3,120.5,173.3,1163.0,17.6,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1972,6.9,30.9,13.0,8.8,0.1,25.7,228.0,164.6,22.0,18.1,27.5,7.1,552.6,37.8,21.9,440.3,52.6,2315,,CHANDIGARH,
Union Terr.,Chandigarh,IMD110-P2315,1973,40.4,18.7,9.9,0.0,8.1,285.3,187.3,177.5,94.0,130.3,0.0,32.5,984.0,59.1,18.0,744.1,162.8,2315,,CHANDIGARH,
