state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Uttar Pradesh,Agra,IMD110-P1776,1901,34.6,25.1,2.4,0.1,2.2,13.5,100.2,295.3,18.3,12.2,0.0,4.7,508.6,59.7,4.7,427.3,16.9,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1902,1.2,0.1,0.0,0.1,0.3,37.1,282.5,106.9,80.8,0.4,0.0,0.0,509.3,1.2,0.5,507.2,0.4,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1903,5.3,0.5,5.5,0.0,4.7,17.1,109.7,285.9,63.6,186.5,0.0,0.0,678.7,5.8,10.2,476.3,186.5,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1904,4.3,0.3,10.4,0.0,13.5,47.6,305.8,402.9,18.6,0.0,9.6,41.4,854.4,4.6,23.9,774.9,51.0,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1905,15.2,30.7,8.0,2.2,1.1,13.9,139.7,24.9,67.1,0.0,0.0,4.0,306.8,45.9,11.3,245.6,4.0,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1906,0.6,27.1,15.2,0.0,0.1,148.8,144.5,85.7,234.8,0.4,0.0,1.1,658.2,27.7,15.3,613.7,1.5,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1907,7.7,38.8,10.8,16.2,5.4,5.2,124.7,301.6,0.0,0.0,0.0,0.0,510.3,46.5,32.4,431.5,0.0,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1908,28.6,0.4,0.5,1.0,7.2,30.7,394.8,317.4,26.4,1.9,0.0,0.1,809.0,29.0,8.7,769.4,2.0,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1909,14.8,2.0,0.0,65.9,6.4,61.5,237.5,146.8,87.0,0.0,0.0,25.2,647.1,16.8,72.3,532.8,25.2,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1910,12.5,1.9,0.0,1.3,1.6,48.3,97.7,165.9,155.1,199.1,0.0,0.0,683.4,14.4,2.9,466.9,199.1,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1911,28.5,0.0,16.6,0.0,0.2,30.7,30.7,98.5,253.9,9.0,59.8,2.5,530.6,28.5,16.9,413.9,71.3,1776,,AGRA,
Uttar Pradesh,Agra,IMD110-P1776,1912,31.9,2.5,5.6,0.7,2.0,13.7,175.1,228.9,247.8,0.0,3.8,1.2,713.2,34.4,8.3,665.4,5.0,1776,,AGRA,
