state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
Uttarakhand,Almora,IMD110-P2178,1901,65.8,78.2,49.8,3.0,53.0,22.8,327.0,390.3,117.8,22.3,0.0,33.8,1163.8,144.0,105.8,858.0,56.1,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1902,0.0,14.1,15.4,42.9,33.7,136.1,256.4,277.1,163.0,14.6,0.0,0.0,953.5,14.1,92.0,832.8,14.6,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1903,59.5,13.6,45.4,11.1,32.7,84.0,190.2,283.4,124.6,71.4,0.0,10.4,926.2,73.1,89.2,682.1,81.8,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1904,35.3,3.8,66.6,10.7,63.2,141.4,346.3,368.3,200.0,1.0,34.8,28.4,1299.7,39.1,140.5,1055.9,64.2,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1905,125.0,74.4,69.9,22.7,65.7,89.4,262.9,230.6,78.6,0.0,0.0,30.0,1049.2,199.4,158.3,661.4,30.0,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1906,27.0,126.0,23.5,18.0,11.3,124.2,221.4,342.8,222.6,20.9,0.0,12.7,1150.6,153.1,52.9,911.0,33.5,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1907,35.7,121.3,158.5,60.8,57.1,22.7,308.5,243.8,23.3,0.0,0.0,0.3,1031.8,157.0,276.4,598.2,0.3,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1908,42.8,54.5,13.4,5.8,37.9,116.2,280.1,346.0,27.1,0.2,0.0,11.9,935.8,97.3,57.1,769.4,12.0,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1909,91.1,27.0,2.6,97.4,15.4,277.6,412.1,348.0,63.9,32.0,0.0,90.2,1457.3,118.1,115.4,1101.6,122.2,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1910,29.8,43.7,5.5,11.6,92.4,166.1,379.9,351.6,177.6,327.9,0.5,4.1,1590.6,73.4,109.5,1075.2,332.5,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1911,122.9,0.5,148.6,30.9,6.7,116.6,76.9,359.2,182.4,11.5,57.8,0.0,1113.9,123.4,186.2,735.0,69.4,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1912,88.5,42.3,36.8,39.5,46.3,110.0,317.2,331.6,250.4,0.0,22.3,12.8,1297.7,130.8,122.6,1009.3,35.0,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1913,11.7,81.8,101.9,33.5,86.4,286.5,201.4,112.5,64.6,10.6,8.4,42.5,1041.7,93.5,221.8,665.0,61.4,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1914,0.0,90.6,122.8,60.7,76.5,122.3,410.8,212.0,350.3,14.1,33.6,5.1,1498.6,90.6,259.9,1095.3,52.8,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1915,22.3,124.4,79.1,41.0,82.6,112.9,265.0,416.4,97.6,18.6,0.0,11.4,1271.4,146.7,202.8,891.9,30.0,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1916,0.0,21.3,0.3,18.8,113.3,295.6,324.0,268.8,192.9,50.1,0.0,0.0,1285.0,21.3,132.4,1081.3,50.1,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1917,5.4,51.3,58.7,65.6,175.1,216.5,395.8,311.1,263.8,105.8,0.0,24.6,1673.8,56.8,299.4,1187.1,130.4,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1918,22.2,0.0,42.5,69.1,42.8,126.3,64.4,201.5,71.8,7.4,31.3,11.5,690.8,22.2,154.4,464.0,50.2,2178,,ALMORA,
Uttarakhand,Almora,IMD110-P2178,1919,126.1,23.2,25.8,67.8,51.4,218.2,295.5,225.8,273.1,20.2,2.2,9.0,1338.3,149.3,144.9,1012.7,31.4,2178,,ALMORA,
