state_source,district_source,series_id,year,jan_mm,feb_mm,mar_mm,apr_mm,may_mm,jun_mm,jul_mm,aug_mm,sep_mm,oct_mm,nov_mm,dec_mm,annual_mm,jf_mm,mam_mm,jjas_mm,ond_mm,source_page,quality_flags,district_table_label,duplicate_source_pages
West Bengal,24 Parganas N,IMD110-P2001,1901,30.8,41.2,1.9,107.3,119.0,262.1,267.8,278.7,375.4,38.7,80.7,0.0,1603.5,72.0,228.2,1184.0,119.4,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1902,0.0,0.0,56.5,124.6,197.5,184.5,271.4,293.1,202.3,32.1,17.4,6.4,1385.8,0.0,378.6,951.3,56.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1903,20.5,42.6,50.2,30.9,85.4,227.9,176.2,290.5,329.8,163.8,6.5,0.0,1424.3,63.1,166.5,1024.4,170.3,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1904,0.1,23.1,36.4,15.9,215.3,265.3,383.0,190.3,141.5,45.7,6.3,0.0,1322.8,23.2,267.5,980.0,52.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1905,24.6,40.3,58.0,129.2,204.5,86.7,582.5,276.3,327.5,175.2,0.0,5.5,1910.3,64.9,391.7,1273.0,180.7,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1906,28.5,146.0,58.8,0.5,106.9,177.8,242.4,222.6,177.5,161.1,13.4,0.0,1335.7,174.5,166.3,820.3,174.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1907,2.8,32.2,112.1,49.3,159.1,341.2,270.3,239.1,231.8,39.0,0.0,38.0,1514.8,35.0,320.5,1082.3,77.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1908,14.6,0.0,3.8,7.0,101.5,493.3,421.5,243.2,258.3,21.7,0.2,0.0,1565.0,14.6,112.3,1416.2,21.9,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1909,0.0,1.0,1.1,199.4,157.0,385.0,218.3,527.0,236.0,135.0,4.0,16.4,1880.2,1.0,357.5,1366.3,155.4,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1910,47.6,2.0,8.9,43.4,115.8,186.5,323.3,333.1,206.7,222.9,0.0,0.0,1490.1,49.6,168.1,1049.6,222.9,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1911,11.9,14.0,50.9,47.6,102.5,223.9,214.4,166.1,193.1,114.0,17.6,0.0,1156.0,25.9,201.0,797.4,131.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1912,2.8,18.6,146.9,101.0,299.0,221.0,340.9,241.7,157.1,113.7,64.3,0.0,1707.0,21.4,546.9,960.7,178.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1913,0.0,88.8,39.4,33.2,244.6,764.6,282.7,299.2,151.9,126.5,22.0,5.5,2058.5,88.8,317.2,1498.5,154.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1914,0.0,31.6,18.0,91.3,272.6,182.3,540.8,189.6,184.1,32.6,0.0,49.4,1592.4,31.6,381.9,1096.9,82.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1915,6.5,7.9,136.6,18.5,179.1,289.6,216.4,280.9,205.2,78.1,28.3,0.0,1447.0,14.4,334.2,992.0,106.4,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1916,0.0,0.6,0.0,202.8,39.5,426.7,166.6,415.4,276.6,235.8,14.0,0.0,1777.9,0.6,242.3,1285.3,249.8,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1917,0.0,43.5,9.7,42.2,104.6,392.0,371.4,284.0,241.7,271.6,0.0,0.0,1760.8,43.5,156.5,1289.2,271.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1918,0.0,0.0,38.9,304.5,319.0,422.7,307.7,294.3,170.0,3.3,0.0,5.7,1866.1,0.0,662.4,1194.7,9.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1919,28.5,28.1,21.0,123.6,88.6,306.7,456.5,346.1,185.5,43.1,55.3,0.0,1683.0,56.6,233.2,1294.8,98.4,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1920,0.0,40.3,166.8,23.7,126.7,119.5,354.0,253.8,119.1,139.7,0.0,0.0,1343.6,40.3,317.1,846.5,139.7,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1921,34.4,13.7,29.5,34.3,65.8,296.5,281.4,447.1,170.6,32.5,0.0,0.0,1405.8,48.1,129.5,1195.7,32.5,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1922,2.2,0.0,1.7,48.8,88.2,517.0,251.6,433.8,395.3,143.6,0.0,0.0,1882.1,2.2,138.6,1597.7,143.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1923,0.0,84.2,25.4,51.1,59.4,193.5,341.3,395.8,101.9,94.1,5.5,6.0,1358.1,84.2,135.9,1032.5,105.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1924,0.8,3.6,0.0,59.2,160.4,192.7,274.7,277.9,313.9,126.0,36.2,0.0,1445.4,4.4,219.6,1059.2,162.2,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1925,18.4,14.3,37.5,85.3,111.5,275.3,302.8,133.3,215.7,234.5,4.6,0.1,1433.3,32.7,234.3,927.1,239.2,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1926,20.7,13.0,111.9,31.3,150.3,123.7,623.5,466.2,255.6,121.4,0.6,14.7,1932.9,33.7,293.5,1469.0,136.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1927,26.3,27.2,12.4,59.0,117.4,251.4,247.3,173.5,154.4,61.5,0.3,0.0,1130.8,53.4,188.9,826.7,61.8,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1928,1.5,3.2,0.4,52.5,102.2,429.3,431.2,396.5,122.2,108.6,0.4,0.0,1647.8,4.6,155.0,1379.2,108.9,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1929,41.4,27.0,38.0,62.9,31.8,250.3,353.0,174.9,243.9,168.8,0.0,24.6,1416.6,68.4,132.7,1022.1,193.4,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1930,0.0,13.6,17.5,29.3,153.0,177.3,444.6,379.7,226.8,54.1,70.9,0.0,1566.7,13.6,199.8,1228.4,125.0,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1931,0.9,31.4,28.1,49.7,176.0,188.6,435.0,278.8,197.9,182.0,64.2,0.4,1632.9,32.3,253.8,1100.2,246.6,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1932,0.0,4.3,18.8,48.5,227.6,202.6,197.3,293.9,143.7,76.3,151.4,0.0,1364.4,4.3,294.8,837.5,227.8,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1933,7.2,40.1,0.0,101.3,188.8,507.9,381.3,323.9,286.1,155.8,0.0,0.0,1992.3,47.3,290.1,1499.2,155.8,2001,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1934,0.1,8.4,0.5,48.8,85.0,245.7,232.3,199.3,215.9,120.4,20.8,4.7,1182.0,8.5,134.2,893.3,146.0,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1935,15.0,21.0,28.2,54.4,6.1,116.3,269.3,259.4,141.3,14.1,0.0,5.5,930.5,36.0,88.7,786.3,19.5,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1936,22.4,3.5,35.2,16.5,239.9,187.8,308.1,224.3,276.6,77.9,0.7,12.1,1404.9,25.9,291.7,996.7,90.7,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1937,0.0,104.8,3.9,15.9,77.3,190.1,142.5,294.7,249.6,111.6,1.5,0.8,1192.5,104.8,97.1,876.8,113.8,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1938,0.9,45.3,12.0,1.3,399.8,302.8,341.5,267.6,132.8,50.7,37.5,0.0,1592.2,46.3,413.0,1044.7,88.2,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1939,0.3,7.6,5.1,24.2,79.2,301.4,483.4,595.3,283.2,261.3,7.9,0.0,2048.8,7.8,108.5,1663.3,269.2,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1940,0.0,19.8,133.6,4.5,158.0,189.9,162.4,268.6,292.4,102.3,1.4,0.0,1332.9,19.8,296.0,913.3,103.8,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1941,26.2,2.0,0.0,34.3,121.1,479.6,480.4,504.3,270.9,223.1,89.8,0.0,2231.9,28.2,155.5,1735.3,312.9,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1942,0.0,4.8,2.1,44.2,70.2,108.9,329.9,356.5,403.2,64.5,11.6,0.0,1396.0,4.8,116.4,1198.5,76.2,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1943,38.7,62.5,69.3,156.2,71.9,271.8,531.2,497.2,165.8,136.5,0.0,0.0,2001.0,101.2,297.4,1466.0,136.5,2002,,24 PARGANAS N,
West Bengal,24 Parganas N,IMD110-P2001,1944,72.1,43.4,103.8,16.8,19.5,319.4,377.4,711.2,118.7,55.6,0.0,0.0,1837.7,115.5,140.0,1526.6,55.6,2002,,24 PARGANAS N,
