python >= 3.9                                     PASS 3.9.6
node available                                    PASS /opt/homebrew/bin/node
requirements-foundation.txt present               PASS 
requirements-bulletins.txt present                PASS 
requirements.txt present                          PASS 
requirements-dev.txt present                      PASS 
parse data/registry/sources.json                  PASS 
parse data/registry/source-review.json            PASS 
parse data/registry/product-progress.json         PASS 
parse data/registry/hardening-progress.json       PASS 
parse data/registry/language-support.json         PASS 
parse data/registry/acceptance-benchmark.json     PASS 
parse data/registry/answer-policy.json            PASS 
parse data/registry/openrouter-free-models.json   PASS 
status drift guard                                PASS status drift: 0 problem(s); collected tests 1309, README 1309
python tests                                      PASS 1309 passed, 1 warning in 50.30s
react build audit                                 PASS 11 check(s), 0 failed
surface registry audit                            PASS 10 check(s), 0 failed
react frontend audit                              PASS 13 check(s), 0 failed
port ledger audit                                 PASS 2 check(s), 0 failed

20 step(s), 0 failed
